{'text': "it's cool", 'start': 0.0, 'duration': 4.08}
{'text': 'angela believe the earth is flat or', 'start': 75.6, 'duration': 4.48}
{'text': 'round spherical', 'start': 77.28, 'duration': 4.159}
{'text': 'i might watch this later tonight if we', 'start': 80.08, 'duration': 3.679}
{'text': "have time we'll see", 'start': 81.439, 'duration': 3.36}
{'text': 'i thought a son hated to debate', 'start': 83.759, 'duration': 2.081}
{'text': "wrestling their videos he'll debate", 'start': 84.799, 'duration': 2.32}
{'text': "anybody with more clout than him i'm", 'start': 85.84, 'duration': 2.4}
{'text': 'surprised he debated andrew tate but', 'start': 87.119, 'duration': 2.161}
{'text': 'apparently tate is actually', 'start': 88.24, 'duration': 2.96}
{'text': 'exceptionally stupid', 'start': 89.28, 'duration': 5.44}
{'text': "okay i'm watching this real quick okay", 'start': 91.2, 'duration': 3.52}
{'text': 'well now that was just quite the', 'start': 96.0, 'duration': 2.64}
{'text': 'conversation how do you feel about my', 'start': 97.36, 'duration': 3.36}
{'text': 'guy tommy', 'start': 98.64, 'duration': 4.32}
{'text': 'i oh sorry are you asking me or yeah', 'start': 100.72, 'duration': 3.039}
{'text': 'yeah', 'start': 102.96, 'duration': 2.799}
{'text': "on my way to nice he's i don't know him", 'start': 103.759, 'duration': 3.441}
{'text': 'personally i have nothing against him', 'start': 105.759, 'duration': 3.921}
{'text': "personally his he lives in he's a new", 'start': 107.2, 'duration': 4.32}
{'text': 'age thinker he lives in the new think', 'start': 109.68, 'duration': 3.84}
{'text': 'the idea that the way the world runs and', 'start': 111.52, 'duration': 4.0}
{'text': 'has always run is a bad thing and that', 'start': 113.52, 'duration': 3.44}
{'text': 'if we change everything from the ground', 'start': 115.52, 'duration': 2.559}
{'text': "up it's somehow going to become a", 'start': 116.96, 'duration': 3.199}
{'text': 'magically better place obviously he has', 'start': 118.079, 'duration': 4.161}
{'text': 'no proof or any references for his way', 'start': 120.159, 'duration': 3.681}
{'text': "of like his way of thinking because it's", 'start': 122.24, 'duration': 2.72}
{'text': "never been tested before it's an", 'start': 123.84, 'duration': 3.44}
{'text': 'untested theory i think that him for him', 'start': 124.96, 'duration': 3.519}
{'text': 'to come along and say such blanket', 'start': 127.28, 'duration': 2.399}
{'text': 'statements said', 'start': 128.479, 'duration': 2.241}
{'text': 'we changed all the world leaders to', 'start': 129.679, 'duration': 2.801}
{'text': "women there wouldn't be war is inane and", 'start': 130.72, 'duration': 3.68}
{'text': 'asinine i think for him to say that a', 'start': 132.48, 'duration': 3.28}
{'text': "man who's physically strong can't be", 'start': 134.4, 'duration': 3.28}
{'text': 'mentally strong is also stupid but i', 'start': 135.76, 'duration': 3.199}
{'text': "also understand why he's saying the", 'start': 137.68, 'duration': 2.88}
{'text': "ideas he's saying because he has a", 'start': 138.959, 'duration': 3.121}
{'text': 'natural insecurity based on the fact', 'start': 140.56, 'duration': 3.28}
{'text': "that he's not physical he's the man and", 'start': 142.08, 'duration': 3.519}
{'text': 'the way he gets around it is to pretend', 'start': 143.84, 'duration': 3.2}
{'text': "that that's not important which is fine", 'start': 145.599, 'duration': 2.961}
{'text': 'lots of people do it right stupid people', 'start': 147.04, 'duration': 2.96}
{'text': "saying being smart it's not important", 'start': 148.56, 'duration': 3.2}
{'text': 'poor people say me rich is not important', 'start': 150.0, 'duration': 3.12}
{'text': "it's a common defense mechanism that", 'start': 151.76, 'duration': 2.4}
{'text': 'everybody does and i completely', 'start': 153.12, 'duration': 3.199}
{'text': 'understand it however most people with a', 'start': 154.16, 'duration': 4.0}
{'text': 'basic grasp of economics and the way', 'start': 156.319, 'duration': 3.521}
{'text': 'societies work would look at society and', 'start': 158.16, 'duration': 3.28}
{'text': 'say you know what a society with brave', 'start': 159.84, 'duration': 3.6}
{'text': 'strong men who are full of honor and', 'start': 161.44, 'duration': 3.92}
{'text': 'duty is actually a better society than', 'start': 163.44, 'duration': 3.519}
{'text': 'men who walk around saying i have no', 'start': 165.36, 'duration': 2.959}
{'text': 'duty to protect anybody or protect', 'start': 166.959, 'duration': 2.64}
{'text': 'anything and i just sit around and cry', 'start': 168.319, 'duration': 3.121}
{'text': "all day and and we're and this theory is", 'start': 169.599, 'duration': 3.121}
{'text': 'being tested in real time right', 'start': 171.44, 'duration': 2.799}
{'text': "america's quickly turning into the", 'start': 172.72, 'duration': 3.12}
{'text': 'latter and we can see crime rates going', 'start': 174.239, 'duration': 2.481}
{'text': 'through the roof we can see all the', 'start': 175.84, 'duration': 2.16}
{'text': '[\xa0__\xa0] schools shooting all this stupid', 'start': 176.72, 'duration': 2.239}
{'text': "[\xa0__\xa0] that's happening because men have", 'start': 178.0, 'duration': 2.64}
{'text': "no emotional control anymore and that's", 'start': 178.959, 'duration': 2.961}
{'text': "what's going to happen because society's", 'start': 180.64, 'duration': 2.8}
{'text': 'going to degrade and the countries where', 'start': 181.92, 'duration': 3.12}
{'text': 'men still stick to their honor and their', 'start': 183.44, 'duration': 3.439}
{'text': 'their age-old', 'start': 185.04, 'duration': 4.479}
{'text': 'expected ways of of acting are there', 'start': 186.879, 'duration': 4.241}
{'text': 'going to be a safer societies overall so', 'start': 189.519, 'duration': 2.8}
{'text': 'time will prove me right but i have', 'start': 191.12, 'duration': 3.759}
{'text': "nothing against a guy he's fine i think", 'start': 192.319, 'duration': 3.521}
{'text': 'uh', 'start': 194.879, 'duration': 3.121}
{'text': 'andrew and the previous person that was', 'start': 195.84, 'duration': 3.92}
{'text': 'on the call are just two sides of the', 'start': 198.0, 'duration': 3.12}
{'text': 'same coin', 'start': 199.76, 'duration': 3.44}
{'text': "uh they're both wrong and they're both", 'start': 201.12, 'duration': 4.56}
{'text': 'kind of right in different ways but', 'start': 203.2, 'duration': 4.0}
{'text': 'thinking that this has anything to do', 'start': 205.68, 'duration': 4.32}
{'text': "with gender is silly all right there's", 'start': 207.2, 'duration': 4.319}
{'text': 'nothing to do with gender women can be', 'start': 210.0, 'duration': 3.599}
{'text': 'just as oppressive and as brutal as men', 'start': 211.519, 'duration': 2.961}
{'text': 'can be', 'start': 213.599, 'duration': 2.321}
{'text': 'ultimately it has everything to do with', 'start': 214.48, 'duration': 3.119}
{'text': 'capitalism and it has absolutely nothing', 'start': 215.92, 'duration': 3.52}
{'text': 'to do with the gender islam has slammed', 'start': 217.599, 'duration': 2.881}
{'text': 'the assumption that women are going to', 'start': 219.44, 'duration': 2.799}
{'text': 'be like hysterical across the board that', 'start': 220.48, 'duration': 3.52}
{'text': 'kind of generalization', 'start': 222.239, 'duration': 4.321}
{'text': "is just incorrect and that's why andrew", 'start': 224.0, 'duration': 4.56}
{'text': "i've seen some of your work", 'start': 226.56, 'duration': 3.599}
{'text': "uh as you're doing the rounds on twitch", 'start': 228.56, 'duration': 3.36}
{'text': 'here and uh a lot of the things that you', 'start': 230.159, 'duration': 2.961}
{'text': "said that you've been called out on", 'start': 231.92, 'duration': 2.239}
{'text': 'specifically in regards to like women', 'start': 233.12, 'duration': 2.8}
{'text': 'driving as a matter of fact are just', 'start': 234.159, 'duration': 3.36}
{'text': "generally untrue there's no empirical", 'start': 235.92, 'duration': 2.72}
{'text': 'evidence to back up those claims which', 'start': 237.519, 'duration': 2.481}
{'text': 'is why you resort to anecdotes quite', 'start': 238.64, 'duration': 2.799}
{'text': 'frequently and say things like oh well', 'start': 240.0, 'duration': 3.12}
{'text': "it's just common sense right but it's", 'start': 241.439, 'duration': 3.201}
{'text': "not technically common sense it's just", 'start': 243.12, 'duration': 3.28}
{'text': "your personal opinion completely it's my", 'start': 244.64, 'duration': 2.72}
{'text': 'personal opinion based on my personal', 'start': 246.4, 'duration': 2.479}
{'text': 'biases of my life experience when i say', 'start': 247.36, 'duration': 2.72}
{'text': 'that yeah exactly when i say these', 'start': 248.879, 'duration': 2.08}
{'text': 'things excellent people agree with me', 'start': 250.08, 'duration': 2.0}
{'text': "excellent people disagree with me that's", 'start': 250.959, 'duration': 2.321}
{'text': "fine that's the same of any statement in", 'start': 252.08, 'duration': 2.879}
{'text': 'the world okay i can say the world is', 'start': 253.28, 'duration': 2.799}
{'text': 'round and the people people disagree', 'start': 254.959, 'duration': 2.24}
{'text': "with me that's totally not really fine i", 'start': 256.079, 'duration': 1.761}
{'text': 'come on here and talk about my own', 'start': 257.199, 'duration': 3.6}
{'text': 'personal experiences and my experiences', 'start': 257.84, 'duration': 2.959}
{'text': "you're misunderstanding what i'm saying", 'start': 261.519, 'duration': 3.68}
{'text': 'there is a truth and then there is your', 'start': 263.199, 'duration': 3.761}
{'text': 'own personal experiences backed by', 'start': 265.199, 'duration': 3.601}
{'text': 'anecdotes right or your own personal', 'start': 266.96, 'duration': 3.12}
{'text': 'opinion back by anecdotes from your own', 'start': 268.8, 'duration': 2.64}
{'text': 'personal experiences now your own', 'start': 270.08, 'duration': 3.28}
{'text': 'personal experiences are oftentimes', 'start': 271.44, 'duration': 3.199}
{'text': 'going to be incorrect', 'start': 273.36, 'duration': 3.2}
{'text': "and and not close to the reality that's", 'start': 274.639, 'duration': 3.12}
{'text': "why there's an entire field of", 'start': 276.56, 'duration': 2.8}
{'text': "statistical analysis that's why we do", 'start': 277.759, 'duration': 3.121}
{'text': "empirical uh that's why we rely on pure", 'start': 279.36, 'duration': 3.119}
{'text': "evidence when we're making decisions why", 'start': 280.88, 'duration': 3.36}
{'text': 'because we all carry a bunch of personal', 'start': 282.479, 'duration': 4.081}
{'text': 'biases and when we analyze situations we', 'start': 284.24, 'duration': 4.32}
{'text': 'do not have enough scope to grasp the', 'start': 286.56, 'duration': 3.6}
{'text': 'entirety of the situation we cannot', 'start': 288.56, 'duration': 4.0}
{'text': 'comprehend it with our human brains bro', 'start': 290.16, 'duration': 3.44}
{'text': 'which is why when it comes to women', 'start': 292.56, 'duration': 3.28}
{'text': "driving it's a funny point because the", 'start': 293.6, 'duration': 3.28}
{'text': 'truth is different the truth is the', 'start': 295.84, 'duration': 3.359}
{'text': 'exact opposite woman no no listen', 'start': 296.88, 'duration': 3.92}
{'text': 'oh you should have finished that oh [\xa0__\xa0]', 'start': 299.199, 'duration': 2.72}
{'text': 'that was a really really really good', 'start': 300.8, 'duration': 2.16}
{'text': 'point he should have finished it but he', 'start': 301.919, 'duration': 2.321}
{'text': "didn't i don't know why statistics can", 'start': 302.96, 'duration': 2.16}
{'text': "trigger that from mark twain that's the", 'start': 304.24, 'duration': 1.6}
{'text': 'first thing the second thing is that', 'start': 305.12, 'duration': 2.0}
{'text': "you're you're right", 'start': 305.84, 'duration': 2.88}
{'text': 'yeah you can massage a woman no no', 'start': 307.12, 'duration': 3.04}
{'text': "listen first things first there's lies", 'start': 308.72, 'duration': 2.4}
{'text': "there's analyzing their statistics and", 'start': 310.16, 'duration': 1.759}
{'text': "triggered that from mark twain that's", 'start': 311.12, 'duration': 1.6}
{'text': 'the first thing the second thing is that', 'start': 311.919, 'duration': 2.081}
{'text': "you're you're right", 'start': 312.72, 'duration': 2.72}
{'text': 'yeah you can massage numbers but you', 'start': 314.0, 'duration': 2.479}
{'text': "drive you're deriving your truth from", 'start': 315.44, 'duration': 2.16}
{'text': "internet study that's fine you can", 'start': 316.479, 'duration': 2.081}
{'text': 'derive your truth from inner study on a', 'start': 317.6, 'duration': 2.319}
{'text': 'bunch of different things the truth of', 'start': 318.56, 'duration': 3.12}
{'text': 'life is the truth experience is', 'start': 319.919, 'duration': 2.881}
{'text': 'individual that is the only truth that', 'start': 321.68, 'duration': 2.16}
{'text': 'we all live within you live within your', 'start': 322.8, 'duration': 2.08}
{'text': 'truth level with my truth because the', 'start': 323.84, 'duration': 2.32}
{'text': 'truth of experience is individual if you', 'start': 324.88, 'duration': 2.24}
{'text': 'certain things happen to you over and', 'start': 326.16, 'duration': 2.16}
{'text': 'over and over and over and over again', 'start': 327.12, 'duration': 2.4}
{'text': "but the truth on the internet says it's", 'start': 328.32, 'duration': 2.159}
{'text': "not true that doesn't mean that your", 'start': 329.52, 'duration': 2.399}
{'text': 'experiences are any less real if you', 'start': 330.479, 'duration': 2.641}
{'text': 'come here and say that that says your', 'start': 331.919, 'duration': 2.881}
{'text': 'experiences can be real you could be a', 'start': 333.12, 'duration': 3.2}
{'text': 'statistical anomaly as a matter of fact', 'start': 334.8, 'duration': 2.56}
{'text': 'you can be one of those people but more', 'start': 336.32, 'duration': 3.84}
{'text': 'more often than not more often than that', 'start': 337.36, 'duration': 3.679}
{'text': "because i keep letting you talk you're", 'start': 340.16, 'duration': 2.08}
{'text': "finishing your point i'm trying to talk", 'start': 341.039, 'duration': 3.201}
{'text': "so okay go ahead i'm going to definitely", 'start': 342.24, 'duration': 4.72}
{'text': "oh my god he's so triggered already", 'start': 344.24, 'duration': 3.92}
{'text': "you're going on the internet finding", 'start': 346.96, 'duration': 2.079}
{'text': 'some study and saying that this is the', 'start': 348.16, 'duration': 2.08}
{'text': 'truth especially after the age of coven', 'start': 349.039, 'duration': 2.481}
{'text': 'and the [\xa0__\xa0] truth we were told with', 'start': 350.24, 'duration': 2.64}
{'text': 'that garbage you want to sit here and', 'start': 351.52, 'duration': 2.56}
{'text': "say oh the internet said x i'm sure the", 'start': 352.88, 'duration': 2.08}
{'text': "internet did i'm talking about my", 'start': 354.08, 'duration': 1.679}
{'text': 'personal experiences and some people', 'start': 354.96, 'duration': 2.48}
{'text': 'agree some people do not', 'start': 355.759, 'duration': 3.28}
{'text': 'real sciences the entirety of the', 'start': 357.44, 'duration': 3.36}
{'text': 'insurance industry that relies on making', 'start': 359.039, 'duration': 3.361}
{'text': 'these sorts of calculations to ensure', 'start': 360.8, 'duration': 2.88}
{'text': 'that these quotes are as profitable as', 'start': 362.4, 'duration': 3.359}
{'text': 'possible which ends up uh charging men', 'start': 363.68, 'duration': 3.84}
{'text': 'higher rates than women is a statistical', 'start': 365.759, 'duration': 3.121}
{'text': 'likelihood that men are more dangerous', 'start': 367.52, 'duration': 3.119}
{'text': 'drivers than women across the board and', 'start': 368.88, 'duration': 3.12}
{'text': 'get into more car accidents across the', 'start': 370.639, 'duration': 2.4}
{'text': "board if you're gonna look at all of", 'start': 372.0, 'duration': 2.0}
{'text': "that and say it doesn't matter because", 'start': 373.039, 'duration': 2.081}
{'text': 'that does not correspond to my own', 'start': 374.0, 'duration': 3.44}
{'text': 'personal uh my own personal experiences', 'start': 375.12, 'duration': 3.519}
{'text': "then you're silly you're being silly", 'start': 377.44, 'duration': 2.4}
{'text': "you're a silly person if everyone", 'start': 378.639, 'duration': 3.041}
{'text': 'thought like you did right we would have', 'start': 379.84, 'duration': 2.96}
{'text': 'no scientific achievements on this', 'start': 381.68, 'duration': 2.4}
{'text': 'planet we would still be living inside', 'start': 382.8, 'duration': 3.119}
{'text': 'of [\xa0__\xa0] caves and now as much as i', 'start': 384.08, 'duration': 3.6}
{'text': "love liver king personally i don't think", 'start': 385.919, 'duration': 3.041}
{'text': 'that uh that would be a good planet to', 'start': 387.68, 'duration': 2.56}
{'text': "live on i'm pretty happy for i don't", 'start': 388.96, 'duration': 2.079}
{'text': 'know all the medical achievements all', 'start': 390.24, 'duration': 2.32}
{'text': "the scientific dreams that we've reached", 'start': 391.039, 'duration': 3.121}
{'text': 'and at the heart of all of that all of', 'start': 392.56, 'duration': 2.96}
{'text': 'those accomplishments lies five months', 'start': 394.16, 'duration': 2.879}
{'text': 'an understanding of arriving at the', 'start': 395.52, 'duration': 5.119}
{'text': 'truth through empirical evidence', 'start': 397.039, 'duration': 3.6}
{'text': 'yeah oh cool', 'start': 401.84, 'duration': 6.52}
{'text': "[\xa0__\xa0] i just realized what's", 'start': 403.84, 'duration': 4.52}
{'text': 'hassan is going to [\xa0__\xa0] on him actually', 'start': 408.479, 'duration': 3.28}
{'text': "i've heard different things back and", 'start': 410.0, 'duration': 4.56}
{'text': 'forth about this conversation um about', 'start': 411.759, 'duration': 4.56}
{'text': 'hassan shits on entertain or entertain', 'start': 414.56, 'duration': 3.52}
{'text': 'shits on the sun but i just realized', 'start': 416.319, 'duration': 2.72}
{'text': 'that hassan is going to shut on', 'start': 418.08, 'duration': 2.64}
{'text': 'entertaining this conversation because', 'start': 419.039, 'duration': 3.041}
{'text': 'andrew tate is actually far less', 'start': 420.72, 'duration': 2.8}
{'text': "intelligent than i thought i don't think", 'start': 422.08, 'duration': 2.64}
{'text': "he's ever talked to somebody with a", 'start': 423.52, 'duration': 3.04}
{'text': 'semi-coherent worldview and even if', 'start': 424.72, 'duration': 3.28}
{'text': 'assange is barely strung together by a', 'start': 426.56, 'duration': 2.8}
{'text': "bunch of vocalisms it's probably still", 'start': 428.0, 'duration': 4.319}
{'text': 'more coherent than whatever insane thing', 'start': 429.36, 'duration': 4.32}
{'text': 'that while i see things so i know the', 'start': 432.319, 'duration': 2.801}
{'text': "real [\xa0__\xa0] that entertain us that's just", 'start': 433.68, 'duration': 3.68}
{'text': "a guess though i'm only who knows i mean", 'start': 435.12, 'duration': 4.0}
{'text': "maybe i'll be totally wrong but he", 'start': 437.36, 'duration': 3.679}
{'text': 'already seems ultra triggered and hassan', 'start': 439.12, 'duration': 3.28}
{'text': "hasn't even challenged him that much yet", 'start': 441.039, 'duration': 2.16}
{'text': "it doesn't seem like anything that", 'start': 442.4, 'duration': 2.72}
{'text': "challenges even happened yet but let's", 'start': 443.199, 'duration': 3.761}
{'text': 'see what happens', 'start': 445.12, 'duration': 3.199}
{'text': 'my personal experiences all the car', 'start': 446.96, 'duration': 2.4}
{'text': "crashes i've been involved in all the", 'start': 448.319, 'duration': 2.081}
{'text': 'times my car was hit and all the', 'start': 449.36, 'duration': 3.36}
{'text': 'negative experiences', 'start': 450.4, 'duration': 3.44}
{'text': 'that is now you can sit here and say the', 'start': 452.72, 'duration': 2.8}
{'text': 'insurance claims say that i never said', 'start': 453.84, 'duration': 3.04}
{'text': "the insurance claims don't say that i'm", 'start': 455.52, 'duration': 2.399}
{'text': 'saying that i am not comfortable with', 'start': 456.88, 'duration': 2.48}
{'text': 'women driving because of my personal', 'start': 457.919, 'duration': 2.481}
{'text': 'experience those are my personal', 'start': 459.36, 'duration': 2.959}
{'text': 'experiences you can drag up all the', 'start': 460.4, 'duration': 2.88}
{'text': 'empirical evidence in the world you want', 'start': 462.319, 'duration': 2.32}
{'text': 'to try and drag up anyone with a brain', 'start': 463.28, 'duration': 2.96}
{'text': 'knows how that aids the world agendas', 'start': 464.639, 'duration': 2.641}
{'text': "anyway i don't wanna go to political on", 'start': 466.24, 'duration': 2.72}
{'text': "a stream that's gonna get taken down so", 'start': 467.28, 'duration': 3.199}
{'text': "i'm not saying that i can't find a", 'start': 468.96, 'duration': 2.799}
{'text': "female race car driver i'm not saying", 'start': 470.479, 'duration': 2.72}
{'text': "that that's not what i'm saying either", 'start': 471.759, 'duration': 2.88}
{'text': "i'm not talking about i'm not talking", 'start': 473.199, 'duration': 3.84}
{'text': "about like uh statistical anomalies i'm", 'start': 474.639, 'duration': 4.481}
{'text': 'straight up talking about the', 'start': 477.039, 'duration': 4.081}
{'text': 'overwhelming amount of evidence that', 'start': 479.12, 'duration': 3.44}
{'text': 'suggests that women are more careful', 'start': 481.12, 'duration': 3.919}
{'text': 'drivers than men okay and therefore', 'start': 482.56, 'duration': 4.4}
{'text': 'better drivers than men', 'start': 485.039, 'duration': 2.72}
{'text': 'now', 'start': 486.96, 'duration': 3.28}
{'text': 'you keep resorting back to uh your', 'start': 487.759, 'duration': 4.641}
{'text': 'personal anecdotes you under let so let', 'start': 490.24, 'duration': 3.359}
{'text': 'me walk this let me walk you through', 'start': 492.4, 'duration': 2.239}
{'text': 'this right', 'start': 493.599, 'duration': 2.72}
{'text': "do you agree do you agree that's so god", 'start': 494.639, 'duration': 2.721}
{'text': "doesn't let me walk you through this", 'start': 496.319, 'duration': 2.241}
{'text': "he's probably getting super triggered", 'start': 497.36, 'duration': 3.2}
{'text': 'right now the human beings have biases', 'start': 498.56, 'duration': 3.84}
{'text': 'do me a favor do me a favor okay okay', 'start': 500.56, 'duration': 3.44}
{'text': 'but hey i respected your time do you', 'start': 502.4, 'duration': 2.639}
{'text': 'want to answer my question do you', 'start': 504.0, 'duration': 2.96}
{'text': 'believe that human beings have biases', 'start': 505.039, 'duration': 3.121}
{'text': "absolutely we're all biased okay", 'start': 506.96, 'duration': 2.48}
{'text': 'completely do you think that those', 'start': 508.16, 'duration': 3.52}
{'text': "biases might cloud your judgment it's", 'start': 509.44, 'duration': 3.279}
{'text': 'not about clouding judgment not just', 'start': 511.68, 'duration': 2.479}
{'text': 'your personal cloud not just your own', 'start': 512.719, 'duration': 2.56}
{'text': 'personal judgment do you think our', 'start': 514.159, 'duration': 3.44}
{'text': 'biases might cloud our personal judgment', 'start': 515.279, 'duration': 3.44}
{'text': 'i think every single person on earth is', 'start': 517.599, 'duration': 2.8}
{'text': 'biased and lives within the bible', 'start': 518.719, 'duration': 3.601}
{'text': 'is absolutely true okay', 'start': 520.399, 'duration': 3.921}
{'text': 'so if you if you agree with me on both', 'start': 522.32, 'duration': 3.6}
{'text': "of those accounts look at he's like", 'start': 524.32, 'duration': 2.88}
{'text': 'locked in like trying to find a', 'start': 525.92, 'duration': 2.56}
{'text': "contradiction or something on his son's", 'start': 527.2, 'duration': 2.56}
{'text': 'argument', 'start': 528.48, 'duration': 3.28}
{'text': 'you understand that your anecdotes your', 'start': 529.76, 'duration': 4.32}
{'text': 'own personal accumulation of information', 'start': 531.76, 'duration': 3.84}
{'text': 'is going to be clouded by your own', 'start': 534.08, 'duration': 3.199}
{'text': "personal biases so you're not going to", 'start': 535.6, 'duration': 3.6}
{'text': 'be able to assess the information', 'start': 537.279, 'duration': 4.0}
{'text': 'adequately in the same way that', 'start': 539.2, 'duration': 3.68}
{'text': 'empirical evidence would this is', 'start': 541.279, 'duration': 4.24}
{'text': 'precisely why we look at data rather', 'start': 542.88, 'duration': 4.639}
{'text': 'than make arguments around our wait let', 'start': 545.519, 'duration': 3.361}
{'text': 'me finish come on i understand what', 'start': 547.519, 'duration': 3.521}
{'text': "you're saying", 'start': 548.88, 'duration': 2.16}
{'text': "like five times here everyone's saying", 'start': 551.44, 'duration': 2.88}
{'text': "kick you you're long in the point you're", 'start': 552.8, 'duration': 2.88}
{'text': 'saying that the empirical evidence is', 'start': 554.32, 'duration': 2.24}
{'text': "saying x so it doesn't matter my", 'start': 555.68, 'duration': 2.48}
{'text': "personal experiences that's fine my", 'start': 556.56, 'duration': 3.2}
{'text': "point is let me change it let's say that", 'start': 558.16, 'duration': 2.72}
{'text': "i respect hate though because he's a", 'start': 559.76, 'duration': 3.6}
{'text': 'fast talker he does talk fast circle', 'start': 560.88, 'duration': 4.16}
{'text': 'evan says that pitbull is more likely to', 'start': 563.36, 'duration': 3.12}
{'text': 'bite you than a dalmatian but in your', 'start': 565.04, 'duration': 2.4}
{'text': 'life experience every time you went', 'start': 566.48, 'duration': 1.919}
{'text': 'through a dalmatian that bit you and a', 'start': 567.44, 'duration': 2.32}
{'text': 'pit bull never did are you going to go', 'start': 568.399, 'duration': 2.801}
{'text': 'up to a dalmatian still completely and', 'start': 569.76, 'duration': 3.28}
{'text': "go oh it's fine completely unbiased", 'start': 571.2, 'duration': 3.04}
{'text': 'because the empirical evidence says x', 'start': 573.04, 'duration': 2.4}
{'text': "when you're covered in scars no you're", 'start': 574.24, 'duration': 2.48}
{'text': 'going to say dalmatians bite me for some', 'start': 575.44, 'duration': 2.24}
{'text': "reason and i'm not comfortable around", 'start': 576.72, 'duration': 2.799}
{'text': "dalmatians that's called this is where", 'start': 577.68, 'duration': 4.159}
{'text': 'um', 'start': 579.519, 'duration': 2.32}
{'text': "this is where that there's a saying that", 'start': 582.0, 'duration': 3.6}
{'text': 'i use sometimes um', 'start': 583.36, 'duration': 4.479}
{'text': 'that that shows the problems of using', 'start': 585.6, 'duration': 5.359}
{'text': 'heuristics is um and the saying is that', 'start': 587.839, 'duration': 5.44}
{'text': 'a cat that touches a hot stove will', 'start': 590.959, 'duration': 4.241}
{'text': 'never touch a hot stove again but a cat', 'start': 593.279, 'duration': 4.081}
{'text': 'will also never touch a cold stove again', 'start': 595.2, 'duration': 3.44}
{'text': 'the issue being that like if you have', 'start': 597.36, 'duration': 2.8}
{'text': 'one or two bad experiences you might cut', 'start': 598.64, 'duration': 2.48}
{'text': 'off a whole bunch of potentially', 'start': 600.16, 'duration': 2.32}
{'text': 'positive experiences because you formed', 'start': 601.12, 'duration': 3.279}
{'text': 'a bad heuristic so even if you argue', 'start': 602.48, 'duration': 3.52}
{'text': 'that you can live life using heuristics', 'start': 604.399, 'duration': 3.44}
{'text': 'those could be maladaptive at some point', 'start': 606.0, 'duration': 3.12}
{'text': "you're making", 'start': 607.839, 'duration': 3.841}
{'text': 'bad choices or bad actions based on a', 'start': 609.12, 'duration': 3.68}
{'text': "bad pattern that you think you've", 'start': 611.68, 'duration': 2.32}
{'text': 'perceived', 'start': 612.8, 'duration': 2.64}
{'text': "human nature so i'm telling you my", 'start': 614.0, 'duration': 2.8}
{'text': "personal experiences and i don't care i", 'start': 615.44, 'duration': 2.8}
{'text': 'understand your point empirical evidence', 'start': 616.8, 'duration': 3.039}
