{'text': 'hello', 'start': 3.199, 'duration': 4.001}
{'text': 'nobody was up to', 'start': 309.12, 'duration': 2.24}
{'text': "no good i guess but they didn't like", 'start': 310.0, 'duration': 2.72}
{'text': "walk on anybody's property if it's", 'start': 311.36, 'duration': 2.0}
{'text': 'public', 'start': 312.72, 'duration': 1.68}
{'text': 'property you can just walk wherever you', 'start': 313.36, 'duration': 2.88}
{'text': "want right i guess it's i mean like", 'start': 314.4, 'duration': 2.799}
{'text': "what's the alternative you can tell", 'start': 316.24, 'duration': 2.08}
{'text': "people like you're not allowed to be", 'start': 317.199, 'duration': 2.401}
{'text': "standing in some areas like that's kind", 'start': 318.32, 'duration': 1.68}
{'text': 'of weird', 'start': 319.6, 'duration': 2.56}
{'text': "well i don't know i would say like in", 'start': 320.0, 'duration': 3.6}
{'text': 'terms of like if you are', 'start': 322.16, 'duration': 3.92}
{'text': 'like trying to be a like a bodyguard', 'start': 323.6, 'duration': 3.52}
{'text': 'basically if you are', 'start': 326.08, 'duration': 3.04}
{'text': 'actively defending something you should', 'start': 327.12, 'duration': 3.68}
{'text': 'only be allowed to do it if', 'start': 329.12, 'duration': 4.56}
{'text': 'you if you or you know a group that you', 'start': 330.8, 'duration': 4.399}
{'text': 'would represent i guess', 'start': 333.68, 'duration': 4.32}
{'text': 'or explicitly ask to defend that', 'start': 335.199, 'duration': 4.241}
{'text': 'property', 'start': 338.0, 'duration': 3.36}
{'text': 'like i mean like you have a right to', 'start': 339.44, 'duration': 3.599}
{'text': 'stand in public if you want to right', 'start': 341.36, 'duration': 2.48}
{'text': 'like what like', 'start': 343.039, 'duration': 2.241}
{'text': 'who is someone else to tell you that you', 'start': 343.84, 'duration': 4.32}
{'text': "can't stand here", 'start': 345.28, 'duration': 2.88}
{'text': 'i guess', 'start': 349.36, 'duration': 6.08}
{'text': "i mean yeah i guess but like we're not", 'start': 352.4, 'duration': 4.56}
{'text': 'necessarily just talking about like a', 'start': 355.44, 'duration': 2.16}
{'text': 'person just', 'start': 356.96, 'duration': 2.799}
{'text': 'walking around with a rifle or like', 'start': 357.6, 'duration': 4.319}
{'text': 'walking around open carrying in public', 'start': 359.759, 'duration': 3.361}
{'text': "well what i mean that's essentially what", 'start': 361.919, 'duration': 3.28}
{'text': "they'd be doing right basically i guess", 'start': 363.12, 'duration': 3.12}
{'text': "but like if they're", 'start': 365.199, 'duration': 4.321}
{'text': "like but if they're like if they're like", 'start': 366.24, 'duration': 5.36}
{'text': 'playing the role of a bodyguard where if', 'start': 369.52, 'duration': 2.88}
{'text': 'like if they see', 'start': 371.6, 'duration': 2.8}
{'text': 'someone doing something suspicious or', 'start': 372.4, 'duration': 3.28}
{'text': 'like something they think might be', 'start': 374.4, 'duration': 2.639}
{'text': "like [\xa0__\xa0] they're going over like", 'start': 375.68, 'duration': 3.04}
{'text': "they're like they're actively", 'start': 377.039, 'duration': 3.761}
{'text': 'like kind of defending and securing the', 'start': 378.72, 'duration': 3.199}
{'text': 'area', 'start': 380.8, 'duration': 2.959}
{'text': 'do you think that like what is the law', 'start': 381.919, 'duration': 3.12}
{'text': "that you're saying should exist so that", 'start': 383.759, 'duration': 2.321}
{'text': "people can't do this", 'start': 385.039, 'duration': 2.641}
{'text': 'like what what what are you proposing i', 'start': 386.08, 'duration': 3.76}
{'text': "guess i don't know i feel like", 'start': 387.68, 'duration': 5.28}
{'text': "i i i'm not in america um and", 'start': 389.84, 'duration': 5.359}
{'text': 'so my relationship with guns is like a', 'start': 392.96, 'duration': 3.28}
{'text': 'bit different', 'start': 395.199, 'duration': 3.761}
{'text': 'um i would say that like if you want to', 'start': 396.24, 'duration': 3.36}
{'text': 'be', 'start': 398.96, 'duration': 3.76}
{'text': 'like an armed uh', 'start': 399.6, 'duration': 5.52}
{'text': 'if you are actively defending and acting', 'start': 402.72, 'duration': 3.44}
{'text': 'as security', 'start': 405.12, 'duration': 4.72}
{'text': 'for a place um you have to be there', 'start': 406.16, 'duration': 5.599}
{'text': 'with the express permission of the', 'start': 409.84, 'duration': 4.079}
{'text': 'owners and in an ideal world you would', 'start': 411.759, 'duration': 2.641}
{'text': 'also', 'start': 413.919, 'duration': 1.84}
{'text': 'have some kind of like training', 'start': 414.4, 'duration': 3.199}
{'text': "necessary for it like you'd be", 'start': 415.759, 'duration': 3.44}
{'text': 'somebody i mean like you can say that', 'start': 417.599, 'duration': 2.561}
{'text': "but you're talking about like", 'start': 419.199, 'duration': 2.0}
{'text': 'fundamentally un-american things because', 'start': 420.16, 'duration': 2.479}
{'text': 'like in america you can have a gun in', 'start': 421.199, 'duration': 2.641}
{'text': 'public without any training', 'start': 422.639, 'duration': 2.881}
{'text': 'and in america you can stand in places', 'start': 423.84, 'duration': 3.199}
{'text': 'publicly with a gun without like you', 'start': 425.52, 'duration': 2.799}
{'text': "don't need a permit to do that", 'start': 427.039, 'duration': 3.28}
{'text': 'so we would have to change like some', 'start': 428.319, 'duration': 4.561}
{'text': 'fundamental part of like', 'start': 430.319, 'duration': 4.561}
{'text': 'american law to make that happen i guess', 'start': 432.88, 'duration': 4.96}
{'text': 'right like', 'start': 434.88, 'duration': 2.96}
{'text': 'yeah i i guess yeah', 'start': 438.24, 'duration': 5.28}
{'text': 'yeah so like rolling back the second', 'start': 441.84, 'duration': 3.04}
{'text': 'amendment or making it illegal to stand', 'start': 443.52, 'duration': 2.56}
{'text': 'outside', 'start': 444.88, 'duration': 2.8}
{'text': "with a gun like it seems like we're kind", 'start': 446.08, 'duration': 3.2}
{'text': "of we can't really do that yeah", 'start': 447.68, 'duration': 3.84}
{'text': "yeah i don't know i feel like or i just", 'start': 449.28, 'duration': 4.0}
{'text': 'like greater restrictions on like open', 'start': 451.52, 'duration': 3.519}
{'text': 'carrying like just standing somewhere is', 'start': 453.28, 'duration': 3.6}
{'text': 'fine but like standing somewhere', 'start': 455.039, 'duration': 3.761}
{'text': "outside of like a person's property like", 'start': 456.88, 'duration': 4.159}
{'text': 'with a firearm out as if you were a', 'start': 458.8, 'duration': 3.76}
{'text': 'bodyguard', 'start': 461.039, 'duration': 3.84}
{'text': 'like as if you were like a security like', 'start': 462.56, 'duration': 4.8}
{'text': 'employed by the um', 'start': 464.879, 'duration': 3.921}
{'text': "i guess i just i don't know what that", 'start': 467.36, 'duration': 3.04}
{'text': 'means like what does it mean', 'start': 468.8, 'duration': 3.36}
{'text': 'standing like security like what do you', 'start': 470.4, 'duration': 4.479}
{'text': 'mean by that like', 'start': 472.16, 'duration': 8.0}
{'text': "[\xa0__\xa0] i don't know like if you're um", 'start': 474.879, 'duration': 5.281}
{'text': "like you're kind of you're standing", 'start': 483.68, 'duration': 3.199}
{'text': "outside you're sort of", 'start': 485.44, 'duration': 3.28}
{'text': "you're looking at people as they pass in", 'start': 486.879, 'duration': 3.121}
{'text': "you're sort of um", 'start': 488.72, 'duration': 2.879}
{'text': "you're investing like if someone's", 'start': 490.0, 'duration': 3.52}
{'text': "looking suspicious you'll like stop them", 'start': 491.599, 'duration': 2.72}
{'text': 'be like hey', 'start': 493.52, 'duration': 2.799}
{'text': 'you know what are you doing so like but', 'start': 494.319, 'duration': 3.121}
{'text': "what i'm asking is like what", 'start': 496.319, 'duration': 2.401}
{'text': 'should be illegal here should you not be', 'start': 497.44, 'duration': 2.56}
{'text': 'allowed to stand outside and look at', 'start': 498.72, 'duration': 2.159}
{'text': 'people should you not be', 'start': 500.0, 'duration': 2.72}
{'text': 'allowed to like talk to strangers should', 'start': 500.879, 'duration': 3.281}
{'text': "you not be like what is what what's the", 'start': 502.72, 'duration': 5.12}
{'text': "thing we're trying to make illegal here", 'start': 504.16, 'duration': 3.68}
{'text': "well that's kind of the yeah important", 'start': 509.36, 'duration': 3.039}
{'text': 'yeah right', 'start': 511.28, 'duration': 3.28}
{'text': 'yeah because like when you say like you', 'start': 512.399, 'duration': 4.241}
{'text': 'see someone suspicious like', 'start': 514.56, 'duration': 3.76}
{'text': 'standing around outside well we can', 'start': 516.64, 'duration': 3.04}
{'text': 'stand around outside seeing someone', 'start': 518.32, 'duration': 3.12}
{'text': 'suspicious like i mean if we', 'start': 519.68, 'duration': 3.039}
{'text': 'we can talk to people we want to they', 'start': 521.44, 'duration': 2.399}
{'text': "don't have to answer they can just say", 'start': 522.719, 'duration': 2.161}
{'text': "[\xa0__\xa0] you i'm not gonna respond you're", 'start': 523.839, 'duration': 2.721}
{'text': "like oh okay well you're [\xa0__\xa0]", 'start': 524.88, 'duration': 3.28}
{'text': 'but i mean like unless until they start', 'start': 526.56, 'duration': 3.12}
{'text': 'actually like you know if a person walks', 'start': 528.16, 'duration': 3.04}
{'text': 'out and tries to shoot somebody', 'start': 529.68, 'duration': 3.12}
{'text': 'um or something like that or claims that', 'start': 531.2, 'duration': 4.56}
{'text': "they're like sent there by the um", 'start': 532.8, 'duration': 4.719}
{'text': 'you know by the business to defend the', 'start': 535.76, 'duration': 3.36}
{'text': "business well now we're talking", 'start': 537.519, 'duration': 2.641}
{'text': 'like these are things that should be', 'start': 539.12, 'duration': 2.8}
{'text': 'illegal if unless the business like', 'start': 540.16, 'duration': 3.119}
{'text': 'actually says something right yeah sure', 'start': 541.92, 'duration': 3.44}
{'text': 'i can agree that but', 'start': 543.279, 'duration': 5.761}
{'text': 'yeah this uh this was like a smaller', 'start': 545.36, 'duration': 5.52}
{'text': 'question it was like a bit less thought', 'start': 549.04, 'duration': 3.359}
{'text': 'out than the first one which was you', 'start': 550.88, 'duration': 2.48}
{'text': 'know pretty easy', 'start': 552.399, 'duration': 2.961}
{'text': "that's right um but yeah no that's all i", 'start': 553.36, 'duration': 3.919}
{'text': 'had to talk about i i like your stream i', 'start': 555.36, 'duration': 3.36}
{'text': 'more or less agree with you on pretty', 'start': 557.279, 'duration': 3.12}
{'text': 'much everything so you know', 'start': 558.72, 'duration': 2.799}
{'text': 'all right good job i love everybody be', 'start': 560.399, 'duration': 4.241}
{'text': 'careful okay yeah me too', 'start': 561.519, 'duration': 4.641}
{'text': 'not everybody is born with a [\xa0__\xa0]', 'start': 564.64, 'duration': 3.36}
{'text': 'silver spoon they can start 50 million', 'start': 566.16, 'duration': 3.04}
{'text': "[\xa0__\xa0] businesses you don't think a lot", 'start': 568.0, 'duration': 2.72}
{'text': 'of these small businesses are literally', 'start': 569.2, 'duration': 5.04}
{'text': 'these people livelihoods would', 'start': 570.72, 'duration': 3.52}
