{'text': '[Music]', 'start': 2.43, 'duration': 3.099}
{'text': "all I don't like you save your camera", 'start': 357.139, 'duration': 6.721}
{'text': 'right oh my god oh look at you oh oh oh', 'start': 359.12, 'duration': 7.65}
{'text': "my god you're actually saving right now", 'start': 363.86, 'duration': 4.89}
{'text': "oh you're like [\xa0__\xa0] I should have talked", 'start': 366.77, 'duration': 3.209}
{'text': 'so much [\xa0__\xa0] like maybe I could be', 'start': 368.75, 'duration': 4.68}
{'text': 'negative oh you absolutely deserve all', 'start': 369.979, 'duration': 5.25}
{'text': 'this [\xa0__\xa0] I talked about okay', 'start': 373.43, 'duration': 4.889}
{'text': 'all right hold on just okay honestly', 'start': 375.229, 'duration': 6.201}
{'text': 'even more so', 'start': 378.319, 'duration': 3.111}
{'text': 'besides I starting to feel a little bit', 'start': 387.039, 'duration': 3.611}
{'text': "bad for you it's gonna seem uneven you", 'start': 388.94, 'duration': 3.18}
{'text': "know I'm just trying to hustle you", 'start': 390.65, 'duration': 3.299}
{'text': 'before the poker there you go have it', 'start': 392.12, 'duration': 4.74}
{'text': 'good job destiny you did it okay I just', 'start': 393.949, 'duration': 5.161}
{'text': 'wanted to date one game okay editor', 'start': 396.86, 'duration': 3.359}
{'text': 'should have gotten a contract it sounds', 'start': 399.11, 'duration': 1.98}
{'text': 'like you should have gotten something in', 'start': 400.219, 'duration': 1.801}
{'text': 'writing it sounds like blah blah blah', 'start': 401.09, 'duration': 3.66}
{'text': "and it's like an interesting take there", 'start': 402.02, 'duration': 6.44}
{'text': 'my fellow communists', 'start': 404.75, 'duration': 3.71}
