{'text': '[Music]', 'start': 0.76, 'duration': 3.17}
{'text': 'business ventures that are all losing', 'start': 94.64, 'duration': 2.32}
{'text': 'money', 'start': 96.079, 'duration': 3.521}
{'text': 'which is not like not a good meme or i', 'start': 96.96, 'duration': 4.08}
{'text': "mean it's a good meme but not a good", 'start': 99.6, 'duration': 3.28}
{'text': 'business strategy', 'start': 101.04, 'duration': 3.84}
{'text': 'trump lives a certain lifestyle that you', 'start': 102.88, 'duration': 3.36}
{'text': 'might not be able to get simply through', 'start': 104.88, 'duration': 2.559}
{'text': 'just like how that might be hard to', 'start': 106.24, 'duration': 2.64}
{'text': "measure net worth in which case you'd", 'start': 107.439, 'duration': 1.841}
{'text': 'say like', 'start': 108.88, 'duration': 1.519}
{'text': 'even if you would have made a little bit', 'start': 109.28, 'duration': 3.44}
{'text': "more in the market um it doesn't really", 'start': 110.399, 'duration': 3.76}
{'text': 'matter because he has like', 'start': 112.72, 'duration': 3.28}
{'text': "there's a slightly less tangible value", 'start': 114.159, 'duration': 4.081}
{'text': 'to like his brand', 'start': 116.0, 'duration': 4.079}
{'text': 'the ironic part is if his brand is the', 'start': 118.24, 'duration': 3.12}
{'text': "only thing that's actually keeping him", 'start': 120.079, 'duration': 2.961}
{'text': 'afloat because his uh', 'start': 121.36, 'duration': 3.28}
{'text': "businesses suck so much that's kind of", 'start': 123.04, 'duration': 3.84}
{'text': 'ironic if you have a brand as a', 'start': 124.64, 'duration': 2.88}
{'text': 'businessman', 'start': 126.88, 'duration': 1.999}
{'text': 'even though you suck as a businessman', 'start': 127.52, 'duration': 2.64}
{'text': 'but the brand is a businessman is', 'start': 128.879, 'duration': 2.641}
{'text': 'allowing you to invest money in your', 'start': 130.16, 'duration': 2.24}
{'text': 'failing businesses', 'start': 131.52, 'duration': 2.4}
{'text': "that's there's gotta be some kind of", 'start': 132.4, 'duration': 3.44}
{'text': 'irony', 'start': 133.92, 'duration': 4.8}
{'text': 'or anti-irony or something you think', 'start': 135.84, 'duration': 4.0}
{'text': "it's worth it for liberals to push that", 'start': 138.72, 'duration': 2.159}
{'text': 'he only paid 750', 'start': 139.84, 'duration': 2.24}
{'text': 'on tax money even though we know carrie', 'start': 140.879, 'duration': 3.121}
{'text': 'ford lost existing taiwan the average', 'start': 142.08, 'duration': 4.0}
{'text': "american doesn't know dick all about tax", 'start': 144.0, 'duration': 2.64}
{'text': 'law', 'start': 146.08, 'duration': 3.519}
{'text': 'complaining about trump only paying 750', 'start': 146.64, 'duration': 4.72}
{'text': 'or whatever because of careful losses', 'start': 149.599, 'duration': 4.241}
{'text': 'complaining about that is stupid as [\xa0__\xa0]', 'start': 151.36, 'duration': 3.68}
{'text': 'in terms of tax law', 'start': 153.84, 'duration': 3.039}
{'text': 'but rhetorically dude they should be', 'start': 155.04, 'duration': 3.44}
{'text': 'saying that [\xa0__\xa0] every [\xa0__\xa0] day that', 'start': 156.879, 'duration': 3.281}
{'text': '[\xa0__\xa0] is [\xa0__\xa0] hilarious and it plays', 'start': 158.48, 'duration': 2.0}
{'text': 'well', 'start': 160.16, 'duration': 1.84}
{'text': 'trump paid less in taxes than i did but', 'start': 160.48, 'duration': 2.56}
{'text': "trump constantly breaks about who's a", 'start': 162.0, 'duration': 1.92}
{'text': 'billionaire blah blah blah', 'start': 163.04, 'duration': 2.72}
{'text': 'blah i think that [\xa0__\xa0] plays super well', 'start': 163.92, 'duration': 3.52}
{'text': 'yeah they should scream that [\xa0__\xa0] from', 'start': 165.76, 'duration': 2.64}
{'text': 'the rooftops', 'start': 167.44, 'duration': 2.079}
{'text': "it's dumb if you know what you're", 'start': 168.4, 'duration': 2.559}
{'text': 'talking about but no americans know', 'start': 169.519, 'duration': 4.241}
{'text': "anything about taxes so it's effective", 'start': 170.959, 'duration': 4.481}
{'text': 'items twitter is doing a good job at', 'start': 173.76, 'duration': 3.6}
{'text': 'capitalizing on it', 'start': 175.44, 'duration': 4.079}
{'text': 'how much should you pay taxes head to', 'start': 177.36, 'duration': 3.84}
{'text': 'biden oh wait', 'start': 179.519, 'duration': 4.8}
{'text': 'what is this', 'start': 181.2, 'duration': 5.119}
{'text': 'what a stupid website this is really', 'start': 184.319, 'duration': 4.321}
{'text': 'funny', 'start': 186.319, 'duration': 2.321}
{'text': 'god damn 10 quick takeaways from the new', 'start': 189.28, 'duration': 5.44}
{'text': "york times bombshell article on trump's", 'start': 192.56, 'duration': 4.399}
{'text': 'tax returns', 'start': 194.72, 'duration': 4.159}
{'text': "sunday night's new york times article on", 'start': 196.959, 'duration': 3.041}
{'text': "donald trump's", 'start': 198.879, 'duration': 3.44}
{'text': 'taxes has a great deal of content that', 'start': 200.0, 'duration': 3.44}
{'text': 'will take time', 'start': 202.319, 'duration': 2.881}
{'text': 'and additional supporting detail to', 'start': 203.44, 'duration': 3.2}
{'text': 'digest fully', 'start': 205.2, 'duration': 3.28}
{'text': "what's more this article is apparently", 'start': 206.64, 'duration': 4.08}
{'text': 'just the start as the time says it will', 'start': 208.48, 'duration': 4.0}
{'text': 'be publishing follow-ups that go into', 'start': 210.72, 'duration': 4.239}
{'text': 'greater depth on particular issues', 'start': 212.48, 'duration': 4.399}
{'text': 'all that said however the following ten', 'start': 214.959, 'duration': 4.64}
{'text': 'takeaways already appear clear', 'start': 216.879, 'duration': 5.761}
{'text': 'one tax is the least of it the article', 'start': 219.599, 'duration': 4.64}
{'text': "offers direct evidence of trump's", 'start': 222.64, 'duration': 3.92}
{'text': 'impending financial liability to unknown', 'start': 224.239, 'duration': 3.041}
{'text': 'lenders', 'start': 226.56, 'duration': 2.88}
{'text': 'and of pervasive conflicts of interest', 'start': 227.28, 'duration': 3.039}
{'text': 'as president', 'start': 229.44, 'duration': 2.64}
{'text': 'that are of grave national security', 'start': 230.319, 'duration': 3.441}
{'text': 'concern', 'start': 232.08, 'duration': 4.4}
{'text': 'two trump appears to be an absolutely', 'start': 233.76, 'duration': 4.479}
{'text': 'terrible businessman', 'start': 236.48, 'duration': 4.399}
{'text': 'this is a man who netted 606 million', 'start': 238.239, 'duration': 4.401}
{'text': 'dollars over 19 years from', 'start': 240.879, 'duration': 4.801}
{'text': '2000 to 2018 through the apprentice', 'start': 242.64, 'duration': 5.12}
{'text': 'licensing and endorsements and', 'start': 245.68, 'duration': 4.639}
{'text': 'investments and businesses run by others', 'start': 247.76, 'duration': 5.119}
{'text': 'and yet has created enormous financial', 'start': 250.319, 'duration': 3.92}
{'text': 'peril for himself', 'start': 252.879, 'duration': 4.161}
{'text': 'by buying prestige business properties', 'start': 254.239, 'duration': 4.161}
{'text': 'for high prices', 'start': 257.04, 'duration': 4.08}
{'text': 'and then pouring cash into them without', 'start': 258.4, 'duration': 5.68}
{'text': 'thereby generating positive net returns', 'start': 261.12, 'duration': 5.04}
{'text': 'even with the cash infusions his', 'start': 264.08, 'duration': 4.0}
{'text': 'personally run businesses have continued', 'start': 266.16, 'duration': 4.24}
{'text': 'to lose a great deal of money even', 'start': 268.08, 'duration': 4.32}
{'text': 'leaving aside depreciation deductions', 'start': 270.4, 'duration': 3.76}
{'text': 'that might or might not be accompanied', 'start': 272.4, 'duration': 4.64}
{'text': 'by actual declines in economic value', 'start': 274.16, 'duration': 5.12}
{'text': 'one therefore suspects that he is simply', 'start': 277.04, 'duration': 4.0}
{'text': 'funding the negative cash flow', 'start': 279.28, 'duration': 3.44}
{'text': 'not creating new value that might pay', 'start': 281.04, 'duration': 3.12}
{'text': 'off in the future', 'start': 282.72, 'duration': 3.68}
{'text': 'even the enhanced revenues at some us', 'start': 284.16, 'duration': 3.68}
{'text': 'properties from there being used by', 'start': 286.4, 'duration': 2.32}
{'text': 'lobbyists', 'start': 287.84, 'duration': 2.639}
{'text': 'have failed to eliminate the pattern of', 'start': 288.72, 'duration': 4.56}
{'text': 'losing a great deal', 'start': 290.479, 'duration': 4.801}
{'text': 'meanwhile perhaps to fund the ongoing', 'start': 293.28, 'duration': 3.12}
{'text': 'cash infusions', 'start': 295.28, 'duration': 3.12}
{'text': "he's been taking out loans and making", 'start': 296.4, 'duration': 4.4}
{'text': 'one-time asset sales that imply', 'start': 298.4, 'duration': 4.32}
{'text': 'a danger of simply running out of money', 'start': 300.8, 'duration': 4.239}
{'text': 'soon if there is no turnaround', 'start': 302.72, 'duration': 4.8}
{'text': 'the 421 million dollars in personal', 'start': 305.039, 'duration': 3.841}
{'text': 'liability debts', 'start': 307.52, 'duration': 4.08}
{'text': 'that the times says are due soon add to', 'start': 308.88, 'duration': 4.56}
{'text': 'the impression of an approaching risk of', 'start': 311.6, 'duration': 3.76}
{'text': 'financial breakdown', 'start': 313.44, 'duration': 4.0}
{'text': 'however beyond just the financial peril', 'start': 315.36, 'duration': 3.36}
{'text': 'that he may be facing', 'start': 317.44, 'duration': 3.68}
{'text': 'the pattern looks like one of recklessly', 'start': 318.72, 'duration': 3.68}
{'text': 'and improvisingly', 'start': 321.12, 'duration': 3.359}
{'text': "burning through one's cash for as long", 'start': 322.4, 'duration': 3.28}
{'text': 'as it lasts', 'start': 324.479, 'duration': 3.28}
{'text': 'rather than of investing prudently to', 'start': 325.68, 'duration': 4.959}
{'text': 'create future value', 'start': 327.759, 'duration': 5.041}
{'text': 'as a matter of net worth oh this is', 'start': 330.639, 'duration': 3.761}
{'text': 'three trump appears', 'start': 332.8, 'duration': 3.76}
{'text': 'not to be rich despite his having', 'start': 334.4, 'duration': 4.239}
{'text': 'inherited a large fortune', 'start': 336.56, 'duration': 4.32}
{'text': 'the impending financial liabilities and', 'start': 338.639, 'duration': 3.921}
{'text': 'selling off of assets', 'start': 340.88, 'duration': 3.84}
{'text': 'plus taking out of loans to keep the', 'start': 342.56, 'duration': 4.16}
{'text': 'cash flow is only one reason for', 'start': 344.72, 'duration': 3.039}
{'text': 'concluding that', 'start': 346.72, 'duration': 3.199}
{'text': 'as a matter of net worth as distinct', 'start': 347.759, 'duration': 3.841}
{'text': 'from say lifestyle', 'start': 349.919, 'duration': 3.921}
{'text': 'trump does not appear to be rich', 'start': 351.6, 'duration': 4.08}
{'text': 'consider that from 2000 to', 'start': 353.84, 'duration': 5.199}
{'text': '2018 his net profit from assets his own', 'start': 355.68, 'duration': 4.16}
{'text': 'businesses', 'start': 359.039, 'duration': 2.801}
{'text': 'plus investments in businesses run by', 'start': 359.84, 'duration': 4.96}
{'text': 'others is only 4.2 million dollars', 'start': 361.84, 'duration': 5.12}
{'text': 'the excess of his investment gains over', 'start': 364.8, 'duration': 4.56}
{'text': 'his business losses', 'start': 366.96, 'duration': 4.079}
{'text': 'this is about wait say that hold on say', 'start': 369.36, 'duration': 3.92}
{'text': 'that one part again', 'start': 371.039, 'duration': 4.401}
{'text': 'his own businesses plus investments in', 'start': 373.28, 'duration': 4.24}
{'text': 'businesses run by others from 2000 to', 'start': 375.44, 'duration': 3.12}
{'text': '2018', 'start': 377.52, 'duration': 4.239}
{'text': 'was only 4.2 million dollars which is', 'start': 378.56, 'duration': 5.199}
{'text': 'excess of his investment gains over his', 'start': 381.759, 'duration': 3.121}
{'text': 'business losses', 'start': 383.759, 'duration': 5.521}
{'text': 'hold on trump from 2000 to 2018', 'start': 384.88, 'duration': 7.96}
{'text': 'over an 18-year time span had a net', 'start': 389.28, 'duration': 4.88}
{'text': 'profit', 'start': 392.84, 'duration': 5.0}
{'text': 'of 4.2 million dollars you could', 'start': 394.16, 'duration': 6.0}
{'text': "what is the net profit to a mcdonald's", 'start': 397.84, 'duration': 3.6}
{'text': 'franchise owner', 'start': 400.16, 'duration': 2.8}
{'text': "isn't it in the ballpark of anywhere", 'start': 401.44, 'duration': 4.319}
{'text': 'from 100 to 400 000', 'start': 402.96, 'duration': 5.92}
{'text': 'so this guy is making about as much as', 'start': 405.759, 'duration': 5.041}
{'text': 'somebody that owns like a handful of', 'start': 408.88, 'duration': 5.36}
{'text': "mcdonald's franchises", 'start': 410.8, 'duration': 3.44}
{'text': 'sorry okay jesus', 'start': 414.319, 'duration': 4.0}
{'text': 'this is about 000 220.000', 'start': 418.8, 'duration': 5.679}
{'text': 'year just as a very general ballpark', 'start': 422.08, 'duration': 3.28}
{'text': 'comparison', 'start': 424.479, 'duration': 3.361}
{'text': 'if you were earning 220 000 per year', 'start': 425.36, 'duration': 4.08}
{'text': 'from assets that offered to say', 'start': 427.84, 'duration': 4.0}
{'text': 'a regular 4 annual return that would', 'start': 429.44, 'duration': 4.64}
{'text': 'imply that you were worth only 5.5', 'start': 431.84, 'duration': 3.359}
{'text': 'million dollars', 'start': 434.08, 'duration': 4.559}
{'text': 'to be sure we have here a a fluctuating', 'start': 435.199, 'duration': 5.44}
{'text': 'asset poll rather than a fixed one', 'start': 438.639, 'duration': 4.081}
{'text': 'b personal assets such as homes that', 'start': 440.639, 'duration': 3.84}
{'text': 'yield untaxed consumption value rather', 'start': 442.72, 'duration': 3.44}
{'text': 'than business profits', 'start': 444.479, 'duration': 4.641}
{'text': 'c tax losses that may exceed economic', 'start': 446.16, 'duration': 4.08}
{'text': 'losses', 'start': 449.12, 'duration': 3.84}
{'text': 'd consistently money losing assets that', 'start': 450.24, 'duration': 4.48}
{'text': 'might nonetheless be saleable for', 'start': 452.96, 'duration': 2.88}
{'text': 'positive amounts', 'start': 454.72, 'duration': 2.8}
{'text': 'whether due to their liquidation value', 'start': 455.84, 'duration': 3.12}
{'text': 'or the view that they could make money', 'start': 457.52, 'duration': 2.799}
{'text': 'if completely run', 'start': 458.96, 'duration': 4.239}
{'text': 'and possibly e appreciating assets such', 'start': 460.319, 'duration': 3.121}
{'text': 'as', 'start': 463.199, 'duration': 2.241}
{'text': 'art or non-dividend paying stock that', 'start': 463.44, 'duration': 4.64}
{'text': "don't throw off current taxable income", 'start': 465.44, 'duration': 4.56}
{'text': 'so this is not by any means an actual', 'start': 468.08, 'duration': 3.76}
{'text': 'computation of net value', 'start': 470.0, 'duration': 3.68}
{'text': 'still however the point remains that', 'start': 471.84, 'duration': 3.359}
{'text': 'someone with a lot of wealth', 'start': 473.68, 'duration': 3.04}
{'text': 'generally ought to be earning large', 'start': 475.199, 'duration': 3.84}
{'text': 'annual returns on it at least over an', 'start': 476.72, 'duration': 4.08}
{'text': 'extended period', 'start': 479.039, 'duration': 3.44}
{'text': 'because we generally do not include', 'start': 480.8, 'duration': 3.92}
{'text': 'human capital i.e personal earning', 'start': 482.479, 'duration': 2.961}
{'text': 'potential', 'start': 484.72, 'duration': 2.56}
{'text': 'in net wealth computations all this', 'start': 485.44, 'duration': 3.599}
{'text': 'ignores the fact that', 'start': 487.28, 'duration': 4.24}
{'text': 'at least in the past trump has been able', 'start': 489.039, 'duration': 4.641}
{'text': 'to make a lot of money from his name', 'start': 491.52, 'duration': 4.64}
{'text': 'along with his personal participation in', 'start': 493.68, 'duration': 4.56}
{'text': 'ventures such as the apprentice', 'start': 496.16, 'duration': 3.84}
{'text': 'this can be a true source of economic', 'start': 498.24, 'duration': 4.16}
{'text': 'well-being even if we exclude it', 'start': 500.0, 'duration': 4.4}
{'text': 'from conventional wealth measures', 'start': 502.4, 'duration': 3.919}
{'text': 'however his continued ability to keep', 'start': 504.4, 'duration': 3.44}
{'text': 'doing this is unclear', 'start': 506.319, 'duration': 3.44}
{'text': 'reflecting not only the apparent decline', 'start': 507.84, 'duration': 3.919}
{'text': 'of some of these income sources but also', 'start': 509.759, 'duration': 5.041}
{'text': 'his age number four there is nothing', 'start': 511.759, 'duration': 4.72}
{'text': 'wrong in principle with using true', 'start': 514.8, 'duration': 2.32}
{'text': 'economic', 'start': 516.479, 'duration': 2.321}
{'text': 'losses to offset the tax that would', 'start': 517.12, 'duration': 3.599}
{'text': 'otherwise be due on gains', 'start': 518.8, 'duration': 5.2}
{'text': "but it is also isn't clever tax plan", 'start': 520.719, 'duration': 6.641}
{'text': 'thank you true there is nothing wrong', 'start': 524.0, 'duration': 4.32}
{'text': 'with losses', 'start': 527.36, 'duration': 3.44}
{'text': 'but you would never brag that like oh i', 'start': 528.32, 'duration': 3.84}
{'text': "didn't pay any taxes last year", 'start': 530.8, 'duration': 3.44}
{'text': "really how'd you avoid that well i lost", 'start': 532.16, 'duration': 3.679}
{'text': 'a [\xa0__\xa0] ton of money in my business like', 'start': 534.24, 'duration': 2.4}
{'text': 'oh', 'start': 535.839, 'duration': 2.241}
{'text': "there's no that's not clever that's not", 'start': 536.64, 'duration': 3.36}
{'text': "a clever abuse of the tax code that's", 'start': 538.08, 'duration': 3.199}
{'text': 'just you not having to pay taxes because', 'start': 540.0, 'duration': 2.959}
{'text': "you're not making any [\xa0__\xa0] money", 'start': 541.279, 'duration': 5.601}
{'text': "sorry okay you don't need to apologize", 'start': 542.959, 'duration': 7.361}
{'text': "it's your stream the late", 'start': 546.88, 'duration': 5.84}
{'text': 'great martin ginsberg a famous tax', 'start': 550.32, 'duration': 3.92}
{'text': 'lawyer and the spouse of the recently', 'start': 552.72, 'duration': 2.32}
{'text': 'deceased', 'start': 554.24, 'duration': 3.52}
{'text': 'supreme court justice ruth bader', 'start': 555.04, 'duration': 3.6}
{'text': 'ginsburg', 'start': 557.76, 'duration': 2.8}
{'text': 'once jokingly described what he called', 'start': 558.64, 'duration': 4.0}
{'text': 'the hermann tax shelter', 'start': 560.56, 'duration': 4.64}
{'text': 'the idea was that if you need say a', 'start': 562.64, 'duration': 4.16}
{'text': 'million dollar tax deduction', 'start': 565.2, 'duration': 3.199}
{'text': 'your fictional accountant herman could', 'start': 566.8, 'duration': 3.2}
{'text': 'say give me a million dollars', 'start': 568.399, 'duration': 2.961}
{'text': "i'll steal it from you and go to country", 'start': 570.0, 'duration': 2.88}
{'text': "where you can't reach me and voila you", 'start': 571.36, 'duration': 2.24}
{'text': 'have a million', 'start': 572.88, 'duration': 4.0}
{'text': 'dollar theft loss the joke was that it', 'start': 573.6, 'duration': 3.76}
{'text': "isn't", 'start': 576.88, 'duration': 2.56}
{'text': 'actually beneficial to generate tax', 'start': 577.36, 'duration': 4.479}
{'text': 'deductions by actually losing money', 'start': 579.44, 'duration': 4.32}
{'text': 'for example if the tax rate that you', 'start': 581.839, 'duration': 4.081}
{'text': 'face is 37', 'start': 583.76, 'duration': 4.079}
{'text': 'losing 1 million dollars that is fully', 'start': 585.92, 'duration': 3.76}
{'text': 'deductible generates a tax saving of', 'start': 587.839, 'duration': 2.161}
{'text': 'only', 'start': 589.68, 'duration': 1.76}
{'text': 'three hundred and seventy thousand', 'start': 590.0, 'duration': 3.2}
{'text': "dollars so you're still", 'start': 591.44, 'duration': 4.0}
{'text': 'six hundred and thirty thousand dollars', 'start': 593.2, 'duration': 3.04}
{'text': 'behind', 'start': 595.44, 'duration': 3.28}
{'text': 'from the loss after tax yeah okay real', 'start': 596.24, 'duration': 4.48}
{'text': "quick i'm sorry this is so basic and i", 'start': 598.72, 'duration': 2.88}
{'text': 'understand that like', 'start': 600.72, 'duration': 2.239}
{'text': 'for some reason people understand this i', 'start': 601.6, 'duration': 3.76}
{'text': 'see people on lsf or reddit in general', 'start': 602.959, 'duration': 3.761}
{'text': 'people will say this dumb [\xa0__\xa0] all the', 'start': 605.36, 'duration': 2.96}
{'text': "time where they'll say oh the only", 'start': 606.72, 'duration': 3.28}
{'text': 'reason that guy donated a million', 'start': 608.32, 'duration': 3.92}
{'text': 'dollars is to save money on taxes', 'start': 610.0, 'duration': 5.76}
{'text': 'this is just [\xa0__\xa0] stupid okay', 'start': 612.24, 'duration': 6.159}
{'text': 'losing money to have a percentage', 'start': 615.76, 'duration': 4.48}
{'text': 'reduction on your taxes is never going', 'start': 618.399, 'duration': 3.041}
{'text': 'to be better than just', 'start': 620.24, 'duration': 3.279}
{'text': 'keeping the money and paying tax on it', 'start': 621.44, 'duration': 3.839}
{'text': 'this is why like if i were to say like', 'start': 623.519, 'duration': 2.241}
{'text': 'hey', 'start': 625.279, 'duration': 1.68}
{'text': "i'm going to give you a million dollars", 'start': 625.76, 'duration': 2.48}
{'text': "and you're like yeah really i'm like", 'start': 626.959, 'duration': 2.88}
{'text': "yeah and then you're like well hold on", 'start': 628.24, 'duration': 2.88}
{'text': "if you give me a million dollars i'm", 'start': 629.839, 'duration': 2.641}
{'text': 'gonna have to pay like [\xa0__\xa0] 40', 'start': 631.12, 'duration': 2.56}
{'text': "tax on it how about you just don't give", 'start': 632.48, 'duration': 3.359}
{'text': 'me anything at all oh [\xa0__\xa0] dude sick', 'start': 633.68, 'duration': 3.279}
{'text': 'loophole bro oh', 'start': 635.839, 'duration': 2.56}
{'text': "now you don't have to pay any taxes", 'start': 636.959, 'duration': 2.801}
{'text': "because you don't have the [\xa0__\xa0] money", 'start': 638.399, 'duration': 1.921}
{'text': "it's so", 'start': 639.76, 'duration': 2.96}
{'text': 'stupid when people say this for this', 'start': 640.32, 'duration': 4.639}
{'text': 'reason the key to effective tax shelter', 'start': 642.72, 'duration': 3.28}
{'text': 'planning has always been', 'start': 644.959, 'duration': 2.88}
{'text': 'to generate tax losses that', 'start': 646.0, 'duration': 3.76}
{'text': 'substantially exceed true economic', 'start': 647.839, 'duration': 2.641}
{'text': 'losses', 'start': 649.76, 'duration': 2.079}
{'text': 'which can happen legally under', 'start': 650.48, 'duration': 3.44}
{'text': 'appropriate circumstances', 'start': 651.839, 'duration': 3.841}
{'text': 'trump therefore was not doing himself', 'start': 653.92, 'duration': 4.159}
{'text': 'any good insofar as he actually lost', 'start': 655.68, 'duration': 6.56}
{'text': 'money that he then got to deduct so', 'start': 658.079, 'duration': 5.76}
{'text': 'when okay so real quick so to explain', 'start': 662.24, 'duration': 3.12}
{'text': "this somebody if there's somebody more", 'start': 663.839, 'duration': 2.0}
{'text': 'tax', 'start': 665.36, 'duration': 2.64}
{'text': 'savvy they can answer um the key to', 'start': 665.839, 'duration': 3.521}
{'text': 'effective tax shelter planning is always', 'start': 668.0, 'duration': 3.04}
{'text': 'going to generate tax losses', 'start': 669.36, 'duration': 4.64}
{'text': 'that substantially exceed true economic', 'start': 671.04, 'duration': 3.6}
{'text': 'losses', 'start': 674.0, 'duration': 1.519}
{'text': 'which can happen legally under', 'start': 674.64, 'duration': 2.319}
{'text': 'appropriate circumstances so i think', 'start': 675.519, 'duration': 2.481}
{'text': 'like', 'start': 676.959, 'duration': 3.44}
{'text': 'depreciation might be an example of this', 'start': 678.0, 'duration': 4.16}
{'text': 'where you purchase an asset and that', 'start': 680.399, 'duration': 2.88}
{'text': 'asset depreciates', 'start': 682.16, 'duration': 3.2}
{'text': 'but i think you gain more economic value', 'start': 683.279, 'duration': 3.521}
{'text': 'out of the depreciation and the usage', 'start': 685.36, 'duration': 2.719}
{'text': 'and the consumption of that asset', 'start': 686.8, 'duration': 2.8}
{'text': 'then you would have lost otherwise in a', 'start': 688.079, 'duration': 3.2}
{'text': 'tax sense i think would be like an', 'start': 689.6, 'duration': 2.4}
{'text': 'example of', 'start': 691.279, 'duration': 3.601}
{'text': 'that of like clever tax planning i think', 'start': 692.0, 'duration': 4.32}
{'text': 'so if somebody can correct me from it', 'start': 694.88, 'duration': 4.72}
{'text': 'but yeah okay go so like as an example', 'start': 696.32, 'duration': 5.68}
{'text': "let's say that i buy like a factory okay", 'start': 699.6, 'duration': 3.76}
{'text': "and let's say that this factory costs a", 'start': 702.0, 'duration': 3.279}
{'text': 'million dollars and i depreciate it over', 'start': 703.36, 'duration': 2.32}
{'text': 'time', 'start': 705.279, 'duration': 1.841}
{'text': 'and eventually i get to write off that', 'start': 705.68, 'duration': 3.52}
{'text': 'entire factory because the factory is', 'start': 707.12, 'duration': 3.519}
{'text': 'all used up we depreciate it to zero i', 'start': 709.2, 'duration': 2.24}
{'text': "don't think you normally appreciate", 'start': 710.639, 'duration': 1.921}
{'text': "assets that much but let's say we do", 'start': 711.44, 'duration': 2.24}
{'text': 'that we appreciate all the way to zero', 'start': 712.56, 'duration': 2.32}
{'text': 'and eventually over the course of five', 'start': 713.68, 'duration': 2.8}
{'text': "years i read off 200k a year oh i've", 'start': 714.88, 'duration': 2.72}
{'text': 'depreciated my asset', 'start': 716.48, 'duration': 3.52}
{'text': "while i've lost a million dollars in a", 'start': 717.6, 'duration': 3.6}
{'text': 'tax cents', 'start': 720.0, 'duration': 3.76}
{'text': "i'm able to use that asset to generate", 'start': 721.2, 'duration': 4.16}
{'text': 'more revenue for my business such that', 'start': 723.76, 'duration': 2.4}
{'text': 'it offsets', 'start': 725.36, 'duration': 2.56}
{'text': 'the tax law so the economic value of', 'start': 726.16, 'duration': 4.08}
{'text': 'that million dollars in lost um', 'start': 727.92, 'duration': 5.44}
{'text': 'taxable and lost appreciation was exceed', 'start': 730.24, 'duration': 3.52}
{'text': 'was', 'start': 733.36, 'duration': 2.32}
{'text': 'exceeded by the revenue generated by the', 'start': 733.76, 'duration': 3.6}
