{'text': 'at least', 'start': 6.14, 'duration': 3.34}
{'text': "term lonely mothers it's not to shame", 'start': 76.92, 'duration': 6.54}
{'text': "you instead it's to make it stigmatized", 'start': 79.14, 'duration': 6.06}
{'text': "because it's not a good thing for", 'start': 83.46, 'duration': 4.44}
{'text': "society you think I need I don't need", 'start': 85.2, 'duration': 5.04}
{'text': "you to show me any data that's going to", 'start': 87.9, 'duration': 3.84}
{'text': "be that's going to help me understand", 'start': 90.24, 'duration': 4.86}
{'text': 'that over the past 30 years the rise in', 'start': 91.74, 'duration': 6.72}
{'text': 'violent crime parallels the rise in a', 'start': 95.1, 'duration': 6.72}
{'text': 'single mothers if you look at all of the', 'start': 98.46, 'duration': 6.24}
{'text': 'data on single mothers you find that the', 'start': 101.82, 'duration': 5.1}
{'text': 'children raised by single mothers or', 'start': 104.7, 'duration': 5.099}
{'text': 'shall we say lonely mothers all the data', 'start': 106.92, 'duration': 6.059}
{'text': 'indicates that these children are more', 'start': 109.799, 'duration': 5.221}
{'text': 'likely to be incarcerated in prison', 'start': 112.979, 'duration': 4.5}
{'text': "they're likely to have less educational", 'start': 115.02, 'duration': 4.86}
{'text': 'attainment which means that single', 'start': 117.479, 'duration': 4.081}
{'text': 'mothers are not good leaders single', 'start': 119.88, 'duration': 3.96}
{'text': "mothers are terrible leaders and I'm not", 'start': 121.56, 'duration': 3.839}
{'text': 'saying that the men who leave their', 'start': 123.84, 'duration': 4.139}
{'text': 'children are good guys these men who', 'start': 125.399, 'duration': 4.461}
{'text': 'leave their children are irresponsible', 'start': 127.979, 'duration': 4.98}
{'text': "immature they're not men that I admire", 'start': 129.86, 'duration': 6.16}
{'text': "they're immature Boys in fact and I", 'start': 132.959, 'duration': 4.14}
{'text': 'would encourage them to take care of', 'start': 136.02, 'duration': 3.84}
{'text': "their kids but here's the thing when a", 'start': 137.099, 'duration': 5.341}
{'text': "man leaves his own child it's highly", 'start': 139.86, 'duration': 4.5}
{'text': "unlikely it's due to the child it's due", 'start': 142.44, 'duration': 3.96}
{'text': 'to that lonely mother having been a', 'start': 144.36, 'duration': 3.84}
{'text': "[\xa0__\xa0] and he didn't want the kid in the", 'start': 146.4, 'duration': 4.199}
{'text': "first place it's her being disagreeable", 'start': 148.2, 'duration': 4.619}
{'text': "and he's leaving the situation with her", 'start': 150.599, 'duration': 5.341}
{'text': "so we can't lie and say that a lonely", 'start': 152.819, 'duration': 5.581}
{'text': 'mother is preferential to a two-parent', 'start': 155.94, 'duration': 3.96}
{'text': "household don't we at least agree on", 'start': 158.4, 'duration': 3.479}
{'text': 'that that ideally we have two parent', 'start': 159.9, 'duration': 5.46}
{'text': 'households do we agree on that you see I', 'start': 161.879, 'duration': 6.541}
{'text': 'knew that when I questioned uh when I', 'start': 165.36, 'duration': 5.099}
{'text': 'questioned you I knew that I was right I', 'start': 168.42, 'duration': 3.899}
{'text': "really do have to trust my gut and I'm", 'start': 170.459, 'duration': 3.601}
{'text': 'you and I are probably moving forward', 'start': 172.319, 'duration': 3.241}
{'text': "not going to agree and it's not a", 'start': 174.06, 'duration': 2.58}
{'text': "personal thing I don't have an issue", 'start': 175.56, 'duration': 3.2}
{'text': 'with you personally no of course', 'start': 176.64, 'duration': 4.739}
{'text': 'just hear me out because once again', 'start': 178.76, 'duration': 4.6}
{'text': 'before you go in would you answer the', 'start': 181.379, 'duration': 3.541}
{'text': 'one question I asked you and then go in', 'start': 183.36, 'duration': 3.0}
{'text': "I'ma shut up just answer the one", 'start': 184.92, 'duration': 4.26}
{'text': 'question can we agree that a two-parent', 'start': 186.36, 'duration': 5.159}
{'text': 'household mother and father is far', 'start': 189.18, 'duration': 5.279}
{'text': 'superior to a lonely mother household of', 'start': 191.519, 'duration': 6.181}
{'text': "course if you're a man making fifty", 'start': 194.459, 'duration': 4.92}
{'text': 'thousand dollars a year doing whatever', 'start': 197.7, 'duration': 4.02}
{'text': 'you go you do your nine to five you make', 'start': 199.379, 'duration': 4.021}
{'text': 'fifty thousand dollars a year working', 'start': 201.72, 'duration': 4.739}
{'text': 'your butt off you have a female who is', 'start': 203.4, 'duration': 5.1}
{'text': "under your leadership maybe it's your", 'start': 206.459, 'duration': 4.5}
{'text': "wife whatever the case is and she's", 'start': 208.5, 'duration': 4.2}
{'text': 'doing only fans making a hundred', 'start': 210.959, 'duration': 3.901}
{'text': 'thousand dollars a year just because', 'start': 212.7, 'duration': 4.98}
{'text': "she's out performing you economically", 'start': 214.86, 'duration': 5.459}
{'text': "does not mean that because she's the", 'start': 217.68, 'duration': 5.04}
{'text': 'bread winner she gets to become the', 'start': 220.319, 'duration': 4.621}
{'text': "leader but it also doesn't it also", 'start': 222.72, 'duration': 4.019}
{'text': "doesn't mean that she must be submissive", 'start': 224.94, 'duration': 4.439}
{'text': 'to you yes she must be submissive and', 'start': 226.739, 'duration': 5.401}
{'text': "I'll tell you why the reason that you", 'start': 229.379, 'duration': 4.44}
{'text': 'must be submissive is because everyone', 'start': 232.14, 'duration': 3.36}
{'text': "has their roles and the roles don't come", 'start': 233.819, 'duration': 3.901}
{'text': 'out of thin air the roles come directly', 'start': 235.5, 'duration': 5.22}
{'text': 'out of biology and let me show you why', 'start': 237.72, 'duration': 5.579}
{'text': 'you are submissive if I was there right', 'start': 240.72, 'duration': 5.82}
{'text': "now I could make you submit you ain't", 'start': 243.299, 'duration': 4.981}
{'text': "even got to take the option I'll make", 'start': 246.54, 'duration': 4.259}
{'text': "you submit and here's the difference you", 'start': 248.28, 'duration': 4.319}
{'text': 'can never flip the script and make me', 'start': 250.799, 'duration': 5.521}
{'text': 'submit you are designed weaker you shall', 'start': 252.599, 'duration': 6.661}
{'text': "be dominated and when you're unruly the", 'start': 256.32, 'duration': 4.979}
{'text': 'way you are right now you believe that', 'start': 259.26, 'duration': 4.98}
{'text': "that's why you will never get a man who", 'start': 261.299, 'duration': 5.041}
{'text': "is a high earner because he doesn't want", 'start': 264.24, 'duration': 4.32}
{'text': 'to deal with an unruly woman and I say', 'start': 266.34, 'duration': 4.079}
{'text': 'this because I love you and I want the', 'start': 268.56, 'duration': 3.6}
{'text': "best for you and you're a good looking", 'start': 270.419, 'duration': 4.081}
{'text': 'woman you can achieve so much but that', 'start': 272.16, 'duration': 4.86}
{'text': "mouth ain't good looking when you think", 'start': 274.5, 'duration': 4.86}
{'text': 'that you can compete with a man and not', 'start': 277.02, 'duration': 4.619}
{'text': 'submit you might as well get into a', 'start': 279.36, 'duration': 4.2}
{'text': "relationship with a woman because that's", 'start': 281.639, 'duration': 3.961}
{'text': "the only being that's gonna put up with", 'start': 283.56, 'duration': 3.9}
{'text': 'the [\xa0__\xa0]', 'start': 285.6, 'duration': 6.72}
{'text': "can I respond yes yes you're once again", 'start': 287.46, 'duration': 6.959}
{'text': "women are in there we're just", 'start': 292.32, 'duration': 5.939}
{'text': 'perpetually cuckolded we are not women', 'start': 294.419, 'duration': 7.141}
{'text': 'are not pushing matriarchy you need to', 'start': 298.259, 'duration': 6.901}
{'text': 'understand that the workforce is first', 'start': 301.56, 'duration': 7.859}
{'text': 'of all the racism and the the uh racial', 'start': 305.16, 'duration': 7.38}
{'text': 'exploitation that is the reason that', 'start': 309.419, 'duration': 5.581}
{'text': 'women are having to work because men are', 'start': 312.54, 'duration': 4.56}
{'text': 'not black men are not able to make as', 'start': 315.0, 'duration': 3.66}
{'text': "much as their white counterparts they're", 'start': 317.1, 'duration': 3.3}
{'text': 'not able to make as much money as they', 'start': 318.66, 'duration': 3.96}
{'text': "should be making they're not able hold", 'start': 320.4, 'duration': 4.079}
{'text': "on let me finish they're not able to", 'start': 322.62, 'duration': 4.74}
{'text': 'acquire academic attainment because a', 'start': 324.479, 'duration': 5.041}
{'text': 'lot of them are are going to jail a lot', 'start': 327.36, 'duration': 3.839}
{'text': 'of them are are there are a lot of', 'start': 329.52, 'duration': 4.14}
{'text': 'moving pieces but we are not pushing the', 'start': 331.199, 'duration': 5.521}
{'text': 'matriarchy the matriarchy is a result of', 'start': 333.66, 'duration': 5.94}
{'text': 'the circumstances that have been like I', 'start': 336.72, 'duration': 5.52}
{'text': "don't I don't you really do you really", 'start': 339.6, 'duration': 4.98}
{'text': 'think they have a very narrow way of', 'start': 342.24, 'duration': 4.92}
{'text': 'thinking and seeing the world if a woman', 'start': 344.58, 'duration': 5.76}
{'text': 'has it has to work not want you but if', 'start': 347.16, 'duration': 6.12}
{'text': 'we have to work you cannot then tell me', 'start': 350.34, 'duration': 5.04}
{'text': "oh you're gonna work you're going to", 'start': 353.28, 'duration': 3.84}
{'text': 'come home and do some more work and you', 'start': 355.38, 'duration': 3.9}
{'text': "have to submit to me yes that's not", 'start': 357.12, 'duration': 3.54}
{'text': "gonna happen in life you're gonna do all", 'start': 359.28, 'duration': 4.58}
{'text': 'that baby no no no captains', 'start': 360.66, 'duration': 7.759}
{'text': "it's one only captain on the boat baby", 'start': 363.86, 'duration': 4.559}
{'text': "we're together we are going to come", 'start': 369.84, 'duration': 4.56}
{'text': "but you're not gonna hold me into a role", 'start': 372.18, 'duration': 4.56}
{'text': 'that you have not earned as someone who', 'start': 374.4, 'duration': 3.6}
{'text': 'wants to be', 'start': 376.74, 'duration': 3.48}
{'text': "the head of Health if you're the head of", 'start': 378.0, 'duration': 4.02}
{'text': "health and I'm at home and I'm taking", 'start': 380.22, 'duration': 3.72}
{'text': "care of all the domestics no you're so", 'start': 382.02, 'duration': 3.959}
{'text': "you're complaining again okay so I heard", 'start': 383.94, 'duration': 4.14}
{'text': 'you out I heard you out let me help you', 'start': 385.979, 'duration': 3.72}
{'text': "out and you're working", 'start': 388.08, 'duration': 4.619}
{'text': "no no no no you're right you're just not", 'start': 389.699, 'duration': 6.62}
{'text': 'making enough I heard you', 'start': 392.699, 'duration': 3.62}
{'text': "you uh that's why you're single let me", 'start': 396.479, 'duration': 5.16}
{'text': 'help you out', 'start': 399.9, 'duration': 4.44}
{'text': "no you're not Captain it's not going to", 'start': 401.639, 'duration': 5.221}
{'text': "explain this is why you're single I sort", 'start': 404.34, 'duration': 4.139}
{'text': 'of learned the hard way that in these', 'start': 406.86, 'duration': 5.1}
{'text': 'spaces I should probably', 'start': 408.479, 'duration': 4.081}
{'text': 'um', 'start': 411.96, 'duration': 1.859}
{'text': 'I said', 'start': 412.56, 'duration': 3.0}
{'text': "I I don't want to disclose too much but", 'start': 413.819, 'duration': 4.261}
{'text': 'my name is Analicia', 'start': 415.56, 'duration': 5.759}
{'text': 'um I work in the social service sector', 'start': 418.08, 'duration': 5.64}
{'text': 'and um', 'start': 421.319, 'duration': 4.741}
{'text': "cool yeah is that okay that's fine yeah", 'start': 423.72, 'duration': 4.14}
{'text': "that's funny yeah", 'start': 426.06, 'duration': 4.22}
{'text': 'okay', 'start': 427.86, 'duration': 2.42}
{'text': 'all right yeah okay what do you wanna', 'start': 430.319, 'duration': 3.541}
{'text': 'what do you want to go what do you want', 'start': 432.36, 'duration': 2.58}
{'text': 'to talk about', 'start': 433.86, 'duration': 3.059}
{'text': 'okay first I have to ask on a scale of', 'start': 434.94, 'duration': 3.9}
{'text': 'one to ten how annoying have I been the', 'start': 436.919, 'duration': 4.4}
{'text': 'last week', 'start': 438.84, 'duration': 2.479}
{'text': 'do you want to know why', 'start': 443.72, 'duration': 4.96}
{'text': "I'm gonna be totally honest with you I", 'start': 446.88, 'duration': 3.539}
{'text': '[\xa0__\xa0] hate people that send [\xa0__\xa0]', 'start': 448.68, 'duration': 4.079}
{'text': 'voice messages okay I gotta find a quiet', 'start': 450.419, 'duration': 4.741}
{'text': 'place I gotta push the play button I', 'start': 452.759, 'duration': 3.901}
{'text': 'gotta hold it up to my ear and hope my', 'start': 455.16, 'duration': 3.24}
{'text': "face doesn't hit the phone and if I skip", 'start': 456.66, 'duration': 4.02}
{'text': "apart and I don't hear that's just whoa", 'start': 458.4, 'duration': 4.62}
{'text': "that's just uh that's an auto nine okay", 'start': 460.68, 'duration': 3.54}
{'text': "but other than that you haven't been", 'start': 463.02, 'duration': 2.7}
{'text': 'annoying at all', 'start': 464.22, 'duration': 4.5}
{'text': "okay that's I'll accept that okay uh I", 'start': 465.72, 'duration': 4.5}
{'text': 'like voice messages because I can get', 'start': 468.72, 'duration': 3.12}
{'text': "lazy I don't want to I", 'start': 470.22, 'duration': 3.66}
{'text': 'I spam people when I get really like', 'start': 471.84, 'duration': 4.32}
{'text': 'interested in and', 'start': 473.88, 'duration': 5.159}
{'text': "purview or a subject and I don't want to", 'start': 476.16, 'duration': 4.8}
{'text': 'spam with messages so I obviously you', 'start': 479.039, 'duration': 3.481}
{'text': 'spend with voice messages instead', 'start': 480.96, 'duration': 3.299}
{'text': 'something that forces you to say okay', 'start': 482.52, 'duration': 4.079}
{'text': 'gotcha I thought it was the lecture of', 'start': 484.259, 'duration': 4.021}
{'text': "two evils look I'm learning as I go", 'start': 486.599, 'duration': 4.38}
{'text': "along too okay so now I've learned", 'start': 488.28, 'duration': 4.56}
{'text': 'um so', 'start': 490.979, 'duration': 4.681}
{'text': 'the way first and foremost the way that', 'start': 492.84, 'duration': 4.32}
{'text': 'I came about', 'start': 495.66, 'duration': 3.719}
{'text': 'even', 'start': 497.16, 'duration': 5.099}
{'text': 'listening or hearing you Destiny do you', 'start': 499.379, 'duration': 4.32}
{'text': 'prefer Destiny or Stephen I prefer', 'start': 502.259, 'duration': 3.12}
{'text': "Stephen if that makes yeah that's I", 'start': 503.699, 'duration': 3.18}
{'text': 'prefer it too well why do you prefer', 'start': 505.379, 'duration': 3.121}
{'text': 'Stephen what do you mean by that', 'start': 506.879, 'duration': 4.5}
{'text': "no I just I I like I'm formal in that", 'start': 508.5, 'duration': 5.039}
{'text': 'way I just like to refer to people as I', 'start': 511.379, 'duration': 3.9}
{'text': "I don't really like aliases like your", 'start': 513.539, 'duration': 3.18}
{'text': 'name is Steven my name is annalisia', 'start': 515.279, 'duration': 3.12}
{'text': "we're having a conversation okay that's", 'start': 516.719, 'duration': 5.641}
{'text': "fair okay just checking yeah that's fine", 'start': 518.399, 'duration': 7.201}
{'text': 'um so I saw a uh you know the shorts on', 'start': 522.36, 'duration': 5.159}
{'text': 'YouTube yeah', 'start': 525.6, 'duration': 4.56}
{'text': 'so I saw you in one of the shorts and', 'start': 527.519, 'duration': 5.481}
{'text': 'you were on the bald and burnt podcast', 'start': 530.16, 'duration': 5.78}
{'text': 'and okay', 'start': 533.0, 'duration': 5.14}
{'text': "but you know who I'm referring to you", 'start': 535.94, 'duration': 4.24}
{'text': 'know which one is which', 'start': 538.14, 'duration': 4.44}
{'text': 'is this a nickname for', 'start': 540.18, 'duration': 4.56}
{'text': 'um fresh and fit', 'start': 542.58, 'duration': 4.92}
{'text': 'okay so you know okay okay gotcha wait', 'start': 544.74, 'duration': 4.56}
{'text': 'are you part of the WL Community or do', 'start': 547.5, 'duration': 3.66}
{'text': 'you even know what that is or I do not', 'start': 549.3, 'duration': 3.599}
{'text': 'know what that is okay why do you why', 'start': 551.16, 'duration': 4.26}
{'text': 'these nicknames', 'start': 552.899, 'duration': 5.581}
{'text': "I think oh we'll we'll get into that", 'start': 555.42, 'duration': 4.68}
{'text': "okay we'll get into that okay we'll get", 'start': 558.48, 'duration': 2.88}
{'text': 'into that', 'start': 560.1, 'duration': 3.9}
{'text': 'um but I saw you I just saw a very short', 'start': 561.36, 'duration': 6.44}
{'text': 'clip and I saw you really just', 'start': 564.0, 'duration': 5.36}
{'text': 'really', 'start': 567.8, 'duration': 4.3}
{'text': 'unloading the clip I guess the I call it', 'start': 569.36, 'duration': 4.419}
{'text': 'unloading the intellectual clip some', 'start': 572.1, 'duration': 3.6}
{'text': 'people call it you know really', 'start': 573.779, 'duration': 4.201}
{'text': 'giving really good talking points that', 'start': 575.7, 'duration': 4.56}
{'text': 'are based in fact or you know', 'start': 577.98, 'duration': 4.5}
{'text': 'statistical', 'start': 580.26, 'duration': 3.38}
{'text': 'um', 'start': 582.48, 'duration': 3.24}
{'text': 'whatever yeah okay I know what you mean', 'start': 583.64, 'duration': 4.3}
{'text': "yeah okay yeah you know exactly what I'm", 'start': 585.72, 'duration': 3.6}
{'text': "talking about so I saw that I'm like who", 'start': 587.94, 'duration': 3.24}
{'text': 'the hell is this white guy first of all', 'start': 589.32, 'duration': 4.98}
{'text': 'okay um surrounded that is not racist', 'start': 591.18, 'duration': 4.56}
{'text': "you were the only white guy there it's", 'start': 594.3, 'duration': 5.039}
{'text': 'like it was hard to not it was hard', 'start': 595.74, 'duration': 4.98}
{'text': "that's all right it's okay go ahead", 'start': 599.339, 'duration': 2.581}
{'text': "you're fine I'm used to it at this point", 'start': 600.72, 'duration': 2.46}
{'text': "it's okay to be racist white people so", 'start': 601.92, 'duration': 3.359}
{'text': 'nothing you say can hurt me', 'start': 603.18, 'duration': 5.4}
{'text': "oh we'll talk about that too okay I saw", 'start': 605.279, 'duration': 6.0}
{'text': 'that clip and I thought to myself', 'start': 608.58, 'duration': 4.379}
{'text': 'and that first of all that was the first', 'start': 611.279, 'duration': 3.901}
{'text': "time that I'd ever seen anyone really", 'start': 612.959, 'duration': 4.32}
{'text': 'push back to the extent that you pushed', 'start': 615.18, 'duration': 3.36}
{'text': 'back', 'start': 617.279, 'duration': 3.361}
{'text': 'um because a lot of people go on this', 'start': 618.54, 'duration': 6.72}
{'text': "this podcast and it's the same [\xa0__\xa0] ever", 'start': 620.64, 'duration': 7.319}
{'text': "sorry can I swear yeah you're good just", 'start': 625.26, 'duration': 4.259}
{'text': "yeah you're good", 'start': 627.959, 'duration': 3.481}
{'text': "okay I'm not gonna swear no no I'm sorry", 'start': 629.519, 'duration': 3.361}
{'text': "you can say anything but there's just no", 'start': 631.44, 'duration': 2.82}
{'text': 'hate speech but I feel like if I say', 'start': 632.88, 'duration': 2.7}
{'text': 'that after making racial jokes now it', 'start': 634.26, 'duration': 2.4}
{'text': "sounds like I'm trolling you but yeah", 'start': 635.58, 'duration': 2.64}
{'text': "there's no like weird like no like", 'start': 636.66, 'duration': 2.76}
{'text': "racial slurs or whatever and we're good", 'start': 638.22, 'duration': 2.58}
{'text': "you can swear it's fine I say [\xa0__\xa0]", 'start': 639.42, 'duration': 3.359}
{'text': '[\xa0__\xa0] all the time okay', 'start': 640.8, 'duration': 3.659}
{'text': 'okay', 'start': 642.779, 'duration': 5.941}
{'text': "um so that was mind you I'm not I I", 'start': 644.459, 'duration': 6.0}
{'text': "don't watch them I think that they're", 'start': 648.72, 'duration': 3.96}
{'text': "degenerate I think that they're", 'start': 650.459, 'duration': 5.401}
{'text': "oh my god well we'll get into that but I", 'start': 652.68, 'duration': 4.74}
{'text': "don't watch them with any regularity", 'start': 655.86, 'duration': 3.3}
{'text': "whatsoever it's usually just a clip here", 'start': 657.42, 'duration': 3.84}
{'text': 'and there but I saw the clip I saw you', 'start': 659.16, 'duration': 3.359}
{'text': 'pushing back and I thought to myself', 'start': 661.26, 'duration': 2.519}
{'text': 'okay well this is the first time that', 'start': 662.519, 'duration': 3.481}
{'text': "I've seen someone push back to this", 'start': 663.779, 'duration': 4.74}
{'text': 'degree but not just push back you you', 'start': 666.0, 'duration': 4.56}
{'text': 'were right like some people pushed back', 'start': 668.519, 'duration': 4.141}
{'text': "and they think they're right but it's", 'start': 670.56, 'duration': 4.74}
{'text': 'just really logical fallacies or like', 'start': 672.66, 'duration': 4.799}
{'text': "circular logic they don't really make", 'start': 675.3, 'duration': 6.36}
{'text': 'sense but yeah you were absolutely a', 'start': 677.459, 'duration': 6.601}
{'text': 'hundred thousand percent correct and so', 'start': 681.66, 'duration': 4.56}
{'text': 'I thought to myself this is the only', 'start': 684.06, 'duration': 3.899}
{'text': "person in the space that I've ever seen", 'start': 686.22, 'duration': 4.08}
{'text': 'saying the things or hearing the things', 'start': 687.959, 'duration': 4.801}
{'text': 'that you were saying and it was', 'start': 690.3, 'duration': 4.08}
{'text': 'particular for me it was particularly', 'start': 692.76, 'duration': 3.96}
{'text': 'interesting because', 'start': 694.38, 'duration': 4.98}
{'text': 'you know I would say that the bald and', 'start': 696.72, 'duration': 5.54}
{'text': 'burnt podcast is is', 'start': 699.36, 'duration': 6.12}
{'text': 'largely caters to the black demographic', 'start': 702.26, 'duration': 5.259}
{'text': "that's that's my understanding that's my", 'start': 705.48, 'duration': 5.099}
{'text': 'experience I believe that Their audience', 'start': 707.519, 'duration': 5.88}
{'text': 'is predominantly black', 'start': 710.579, 'duration': 4.081}
{'text': "um it might be I'm not sure but it might", 'start': 713.399, 'duration': 2.521}
{'text': 'be yeah', 'start': 714.66, 'duration': 3.299}
{'text': 'oh we can we can do we can do our', 'start': 715.92, 'duration': 4.5}
{'text': "homework but I'm I'm almost I know I", 'start': 717.959, 'duration': 3.961}
{'text': 'know it targets young men for sure the', 'start': 720.42, 'duration': 2.88}
{'text': 'community is definitely more black than', 'start': 721.92, 'duration': 3.599}
{'text': "than the communities I've seen but I'm", 'start': 723.3, 'duration': 4.38}
{'text': 'like in very very very white spaces on', 'start': 725.519, 'duration': 3.901}
{'text': "the internet so it's hard for me to ever", 'start': 727.68, 'duration': 3.42}
{'text': 'know like which communities are black or', 'start': 729.42, 'duration': 3.14}
{'text': 'not you know', 'start': 731.1, 'duration': 3.78}
{'text': 'yeah I mean it feels like when I look at', 'start': 732.56, 'duration': 3.7}
{'text': 'their subreddit and I see everything it', 'start': 734.88, 'duration': 2.459}
{'text': "feels like it's more black than any", 'start': 736.26, 'duration': 2.16}
{'text': 'other part of the internet that I', 'start': 737.339, 'duration': 2.94}
{'text': 'usually spend time on so yeah for sure I', 'start': 738.42, 'duration': 3.72}
{'text': 'mean I believe if you say yeah', 'start': 740.279, 'duration': 3.541}
{'text': "well I mean that that's just my", 'start': 742.14, 'duration': 3.42}
{'text': "experience with the that's my experience", 'start': 743.82, 'duration': 3.6}
{'text': "with the space that it's it's to me it's", 'start': 745.56, 'duration': 3.66}
{'text': 'sort of derivative of the black man of', 'start': 747.42, 'duration': 3.96}
{'text': "spirits it's in that it's in that area", 'start': 749.22, 'duration': 4.08}
{'text': 'sure so', 'start': 751.38, 'duration': 3.06}
{'text': 'um', 'start': 753.3, 'duration': 3.599}
{'text': 'because you were like the only white guy', 'start': 754.44, 'duration': 5.519}
{'text': 'made it really a really contrast and I', 'start': 756.899, 'duration': 4.321}
{'text': 'just found it interesting I thought okay', 'start': 759.959, 'duration': 2.581}
{'text': 'well maybe this is someone that I can', 'start': 761.22, 'duration': 3.66}
{'text': 'have a conversation with', 'start': 762.54, 'duration': 5.58}
{'text': 'um who who I could maybe could help', 'start': 764.88, 'duration': 6.899}
{'text': 'understand certain things because I', 'start': 768.12, 'duration': 5.1}
{'text': 'think some of the so some of the things', 'start': 771.779, 'duration': 5.041}
{'text': 'I would say 95 of what you said on both', 'start': 773.22, 'duration': 5.22}
{'text': "times that I don't know if you're on two", 'start': 776.82, 'duration': 3.12}
{'text': 'separate times or if you guys filmed', 'start': 778.44, 'duration': 4.44}
{'text': 'both yeah Amazon two or three times yeah', 'start': 779.94, 'duration': 4.56}
{'text': 'okay so', 'start': 782.88, 'duration': 3.56}
{'text': 'um', 'start': 784.5, 'duration': 4.2}
{'text': '95 of the things that you were saying', 'start': 786.44, 'duration': 5.86}
{'text': 'were 100 correct I think that my issue', 'start': 788.7, 'duration': 5.22}
{'text': 'was', 'start': 792.3, 'duration': 3.18}
{'text': "um and it's not necessarily an issue", 'start': 793.92, 'duration': 4.32}
{'text': 'with you but my issue generally speaking', 'start': 795.48, 'duration': 5.52}
{'text': "is sometimes when we're having these", 'start': 798.24, 'duration': 5.279}
{'text': 'conversations and and um', 'start': 801.0, 'duration': 4.98}
{'text': 'bald and burnt they sort of format it', 'start': 803.519, 'duration': 4.62}
{'text': 'this way they format it in a way where', 'start': 805.98, 'duration': 3.96}
{'text': "it's sort of racially ambiguous like", 'start': 808.139, 'duration': 4.021}
{'text': "they don't name the black community but", 'start': 809.94, 'duration': 3.839}
{'text': "really they're talking about the black", 'start': 812.16, 'duration': 3.84}
{'text': 'community some of these um some of these', 'start': 813.779, 'duration': 4.5}
{'text': 'issues really only apply to the black', 'start': 816.0, 'duration': 4.38}
{'text': "community but they're smart because they", 'start': 818.279, 'duration': 3.661}
{'text': 'want to sort of they want to go', 'start': 820.38, 'duration': 3.0}
{'text': 'mainstream they want to broaden their', 'start': 821.94, 'duration': 2.88}
{'text': 'Their audience or the guests that they', 'start': 823.38, 'duration': 3.06}
{'text': "have on their show so they're not going", 'start': 824.82, 'duration': 4.68}
{'text': 'to name names but um and I think that', 'start': 826.44, 'duration': 5.579}
{'text': "sometimes that's where you know someone", 'start': 829.5, 'duration': 4.019}
{'text': 'like you might go on the show and they', 'start': 832.019, 'duration': 3.541}
{'text': 'you might be saying things and because', 'start': 833.519, 'duration': 4.56}
{'text': "you don't acknowledge that um that", 'start': 835.56, 'duration': 4.92}
{'text': 'dichotomy you might say things that are', 'start': 838.079, 'duration': 4.2}
{'text': 'a little bit like', 'start': 840.48, 'duration': 4.56}
{'text': "I don't like that I don't like that so", 'start': 842.279, 'duration': 4.981}
{'text': 'for example', 'start': 845.04, 'duration': 6.9}
{'text': 'um you said that something about a', 'start': 847.26, 'duration': 8.28}
